province;red;green;blue;x;x
270;0;123;190;Aristanis;x
271;42;126;63;Caralis;x
272;84;144;66;Cosa;x
273;0;138;65;Saena Julia;x
274;126;138;49;Urbs Vetus;x
275;126;147;194;Roma;x
276;84;9;226;Capeva;x
277;168;150;67;Neapolis;x
278;42;156;68;Salernum;x
279;84;159;196;Consentia;x
280;126;162;69;Rhegium;x
281;168;165;197;Messana;x
282;0;168;70;Panormus;x
283;42;171;198;Drepanon;x
284;84;174;71;Agrigentum;x
285;126;177;199;Syracusæ;x
286;84;93;6;Melita;x
287;168;180;72;Tarentum;x
288;0;183;200;Lupiae;x
289;42;186;73;Barium;x
290;84;189;201;Apulia;x
291;126;192;74;Argos Hippium;x
292;0;153;195;Beneventum;x
293;1;123;145;Aprutium;x
294;0;198;75;Ancona;x
295;168;195;202;Spoletium;x
296;168;135;192;Urvinum;x
297;42;201;203;Ravenna;x
298;84;204;76;Bononia;x
299;126;207;204;Ferraria;x
300;84;114;61;Modena;x
301;168;210;77;Mantua;x
302;168;105;187;Verona;x
303;84;99;186;Tridentum;x
304;0;0;205;Patavium;x
305;42;3;78;Venetia;x
306;84;6;206;Tarvisium;x
307;126;9;79;Aquileia;x
308;126;96;29;Histria;x
309;84;93;156;Carnium;x
310;42;90;28;Carinthia;x
311;0;87;155;Steiermarka;x
312;126;66;24;Iuvavum;x
313;42;96;58;Brigantion;x
314;0;15;80;Munichen;x
315;168;90;57;Nürnberch;x
316;126;87;184;Babenberch;x
317;42;18;208;Landshuad;x
318;84;63;151;Boiodurum;x
319;168;39;147;Plzen;x
320;84;84;56;Mišno;x
321;42;81;183;Lipsk;x
322;42;129;28;Wimares;x
323;84;132;156;Brunswik;x
324;126;135;29;Zeltberg;x
325;0;141;30;Vishemir;x
326;42;144;158;Hammaburg;x
327;84;147;31;Liubice;x
328;126;150;159;Holsten;x
329;168;153;32;Slesvig;x
330;84;162;161;Jylland;x
331;0;156;160;Fyn;x
332;42;159;33;Købmannahavn;x
333;126;57;179;Skaane;x
334;0;63;180;Burgundaholmr;x
335;168;45;177;Bleikring;x
336;0;48;50;Eowland;x
337;85;129;146;Kalmar;x
338;126;42;49;Värend;x
339;84;54;51;Getakärr;x
340;84;39;176;Vestrgötaland;x
341;126;27;174;Austrgötaland;x
342;127;132;19;Tjust;x
343;42;51;178;Götaland;x
344;84;24;46;Suðrmannland;x
345;168;30;47;Norrke;x
346;126;12;44;Várrland;x
347;0;33;175;Dalaborg;x
348;42;36;48;Viken;x
349;84;177;36;Austfold;x
350;126;180;164;Fornland;x
351;42;174;163;Vestfold;x
352;0;171;35;Þelamork;x
353;126;165;34;Agðir;x
354;168;168;162;Rygjafylke;x
355;168;183;37;Bjorgvin;x
356;0;186;165;Þróndheimr;x
357;84;192;166;Hlaðir;x
358;42;189;38;Heiðmork;x
359;84;9;171;Dalarna;x
360;168;15;172;Västerås;x
361;0;18;45;Stockholm;x
362;42;21;173;Ahvaland;x
363;42;6;43;Gavle;x
364;0;3;170;Hälsingland;x
365;168;0;42;Herjárdalr;x
366;126;210;169;Miðrland;x
367;84;207;41;Jamtaland;x
368;126;195;39;Hálogaland;x
369;42;108;223;Norðrland;x
370;168;102;222;Finnmork;x
371;168;198;167;Sameland;x
372;42;204;168;Angermannland;x
373;0;201;40;Vestrbotn;x
374;42;93;93;Giepma;x
375;84;96;221;Guoládat;x
376;168;96;42;Käddluhtt;x
377;0;90;220;Pohjanmaa;x
378;168;87;92;Satakunta;x
379;84;81;91;Suomi;x
380;126;84;219;Häme;x
381;0;105;95;Savo;x
382;84;111;96;Käkisalmi;x
383;126;99;94;Karjala;x
384;126;114;224;Ääninen;x
385;168;147;2;Syväri;x
386;168;177;7;Holmgarðr;x
387;0;165;5;Nýrsvíþjóð;x
388;84;186;136;Vitbagarðr;x
389;0;180;135;Míkilluki;x
390;42;168;133;Pähkinälinna;x
391;126;174;134;Pulvatn;x
392;168;192;137;Palteskja;x
393;42;183;8;Daugpils;x
394;168;72;217;Tarbatu;x
395;0;75;90;Narva;x
396;126;69;89;Kalevan;x
397;42;63;88;Saaremaa;x
398;84;66;216;Vidumo;x
399;0;60;215;Latgola;x
400;168;57;87;Zemgali;x
401;0;195;10;Vilnius;x
402;42;198;138;Žemaitija;x
403;126;54;214;Kurzeme;x
404;84;51;86;Klaipeda;x
405;84;201;11;Skalauti;x
406;126;204;139;Suduva;x
407;168;156;202;Kobrinas;x
408;0;210;140;Palenke;x
409;0;114;195;Budyatichi;x
410;42;102;193;Sedomir;x
411;0;99;65;Czersk;x
412;168;207;12;Gardinas;x
413;42;0;13;Luks;x
414;168;96;192;Plock;x
415;84;3;141;Galindia;x
416;42;48;213;Semba;x
417;0;45;85;Truso;x
418;168;42;212;Chelmno;x
419;126;6;14;Kruszwica;x
420;126;39;84;Gyddanyzc;x
421;168;9;142;Gniezdno;x
422;84;18;16;Kalisz;x
423;126;93;64;Leczyca;x
424;84;90;191;Kraków;x
425;126;21;144;Cieszym;x
426;42;87;63;Opole;x
427;0;27;145;Wrotizlava;x
428;42;30;18;Cladzco;x
429;126;36;19;Hradec;x
430;84;21;81;Hradište;x
431;84;33;146;Praha;x
432;126;24;209;Litomerice;x
433;168;27;82;Lužica;x
434;168;24;17;Glogów;x
435;42;15;143;Poznan;x
436;84;36;211;Stôlpsk;x
437;42;33;83;Stetin;x
438;0;12;15;Lubusz;x
439;0;30;210;Bramborska;x
440;126;72;54;Wologost;x
441;168;60;52;Rujani;x
442;84;69;181;Waren;x
443;42;66;53;Roztoc;x
444;168;75;182;Steinedal;x
445;0;78;55;Ciervisti;x
446;42;60;23;Znâim;x
447;42;45;148;Staré Zámky;x
448;0;42;20;Holomóc;x
449;84;48;21;Trencín;x
450;126;51;149;Nitra;x
451;0;57;150;Brezalauspurc;x
452;168;69;152;Ostarrîchi;x
453;0;72;25;Ödenburg;x
454;126;81;154;Aquincum;x
455;168;84;27;Savaria;x
456;0;102;30;Varasdinum;x
457;84;108;31;Crisium;x
458;42;105;158;Segestica;x
459;168;99;157;Senia;x
460;126;111;159;Salvia;x
461;168;114;32;Iader;x
462;0;117;160;Salona;x
463;42;120;33;Pelva;x
464;84;123;161;Narona;x
465;126;126;34;Ragusa;x
466;126;18;179;Capedunon;x
467;168;21;52;Bistua Nova;x
468;84;78;26;Sopianæ;x
469;126;63;59;Bodrog;x
470;42;72;188;Partiscum;x
471;42;75;153;Gorsium;x
472;84;75;61;Contraquincum;x
473;168;54;22;Strigonium;x
474;0;84;190;Zvolen;x
475;126;78;189;Agria;x
476;168;81;62;Gemer;x
477;126;108;194;Spisz;x
478;84;105;66;Sacz;x
479;168;111;67;Peremyshl;x
480;84;120;196;Bereg;x
481;126;123;69;Abaújvár;x
482;0;69;60;Bihar;x
483;168;66;187;Zarmizegethusa;x
484;84;60;186;Tibiscum;x
485;42;57;58;Malvensis;x
486;84;30;181;Novae;x
487;42;27;53;Dunonia;x
488;42;12;178;Naissus;x
489;0;24;180;Singidun;x
490;84;15;51;Arsa;x
491;168;129;162;Dioclea;x
492;0;132;35;Dyrrhachion;x
493;84;138;36;Épeiros;x
494;126;141;164;Acarnania;x
495;168;144;37;Kephallenia;x
496;42;150;38;Akhaïa;x
497;84;153;166;Mothone;x
498;126;156;39;Lacedaemon;x
499;42;165;168;Kórinthos;x
500;168;159;167;Kydonia;x
501;0;162;40;Gortyn;x
502;168;174;42;Kykládes;x
503;0;177;170;Eúboia;x
504;84;168;41;Attiké;x
505;0;147;165;Aetolia;x
506;126;186;44;Magnesia;x
507;168;189;172;Thessalía;x
508;0;192;45;Thessaloníki;x
509;42;195;173;Chalkidike;x
510;42;135;163;Lychnidos;x
511;84;198;46;Scupi;x
512;0;9;50;Serdica;x
513;168;6;177;Philippoupolis;x
514;126;201;174;Rhodopes;x
515;168;204;47;Hadrianopolis;x
516;0;207;175;Thrakike Khersonesos;x
517;42;210;48;Konstantinoúpolis;x
518;84;0;176;Thrakes;x
519;126;3;49;Haemimontus;x
520;126;33;54;Durostorum;x
521;168;36;182;Dionysopolis;x
522;0;39;55;Limes Scythicus;x
523;84;45;56;Maurokastron;x
524;42;42;183;Korugan;x
525;126;48;184;Iasii;x
526;168;51;57;Ad Moesiam;x
527;0;129;70;Comidava;x
528;168;126;197;Máramaros;x
529;42;117;68;Galich;x
530;0;144;200;Zhitomir;x
531;42;147;73;Terebovlia;x
532;42;132;198;Tyragetia;x
533;84;135;71;Borysthenes;x
534;126;138;199;Olbia;x
535;168;141;72;Korsun;x
536;84;150;201;Kiev;x
537;84;165;76;Turov;x
538;126;153;74;Pinesk;x
539;0;159;75;Menesk;x
540;126;189;9;Rsha;x
541;126;0;84;Smolensk;x
542;168;3;212;Vyaz';x
543;169;132;182;Vladislavl;x
544;42;162;203;Mogilev;x
545;126;168;204;Lyubech;x
546;168;171;77;Chernigov;x
547;0;174;205;Pereyaslavl;x
548;42;177;78;Khortysia;x
549;84;180;206;Thálassastrofí;x
550;126;183;79;Skythia;x
551;168;186;207;Taurica;x
552;0;189;80;Cherson;x
553;42;192;208;Theodosia;x
554;84;195;81;Panticapaeum;x
555;126;90;99;Phanagoria;x
556;84;102;1;Adiga;x
557;84;87;226;Tanais;x
558;168;93;227;Siracena;x
559;168;108;2;Abasgia;x
560;42;114;3;Beshtau;x
561;168;78;97;Sharkil;x
562;42;84;98;Pediná;x
563;126;198;209;Emporion Kremnoi;x
564;168;201;82;Mikrotanais;x
565;42;207;83;Sugrov;x
566;0;204;210;Sharukhan;x
567;84;210;211;Novgorod Seversk;x
568;42;24;88;Debryansk;x
569;126;30;89;Kolomna;x
570;0;21;215;Moskva;x
571;0;6;85;Truvor;x
572;168;162;132;Bezhichi;x
573;84;171;6;Torzhok;x
574;126;159;4;Belo Ozero;x
575;168;117;97;Kargopol;x
576;0;120;225;Hundrland;x
577;42;153;3;Vologda;x
578;0;150;130;Totma;x
579;42;54;93;Merya;x
580;84;156;131;Kostroma;x
581;84;12;86;Timerevo;x
582;42;9;213;Vollrheimr;x
583;126;15;214;Zalesye;x
584;168;18;87;Ráðstofa;x
585;126;45;219;Súrsdalar;x
586;0;51;220;Tveirelfar;x
587;84;42;91;Valdamarr;x
588;0;36;90;Pereslavl;x
589;42;39;218;Moramar;x
590;168;48;92;Kstovo;x
591;168;63;222;Šupaškar;x
592;42;69;223;Qazansu;x
593;0;66;95;Alatyr;x
594;126;135;134;Bilär;x
595;168;123;132;Lada;x
596;84;72;96;Burtas;x
597;168;33;217;Atemar;x
598;84;27;216;Pronsk;x
599;126;75;224;Khopyor;x
600;0;81;225;Voroneg;x
601;126;120;4;Sarisu;x
602;84;117;131;Islakarazi;x
603;0;111;130;Alhan-Kala;x
604;126;105;129;Alania;x
605;0;108;165;Zabender;x
606;168;105;37;Albana;x
607;168;90;162;Shemakha;x
608;0;156;10;Itil;x
609;168;153;137;Akhtuba;x
610;126;150;9;Saraychyq;x
611;84;147;136;Kaztal;x
612;42;144;8;Yaik;x
613;168;138;7;Magyarvidék;x
614;0;141;135;Basqortostan;x
615;42;129;133;Bolghar;x
616;42;138;128;Iske Qazan;x
617;84;141;1;Väinäjoki;x
618;42;123;98;Bjarmaland;x
619;84;126;226;Mozyn;x
620;168;132;227;Syktyvkar;x
621;168;15;227;Perym;x
622;43;21;128;Komiland;x
623;0;135;0;Zyrian;x
624;1;18;0;Jamal;x
625;127;27;129;Ganþiland;x
626;1;33;130;Abga;x
627;43;36;3;Yomvosh;x
628;43;51;133;Om;x
629;169;30;2;Qashliq;x
630;85;24;1;Chelyaby;x
631;169;45;132;Aqtöbe;x
632;84;162;11;Aral;x
633;0;171;140;Üstyurt;x
634;168;168;12;Aktau;x
635;84;177;141;Garagum;x
636;42;189;143;Bayat-Khadzhi;x
637;126;195;144;Verkâna;x
638;84;192;16;Nisa;x
639;168;198;17;Abarshahr;x
640;168;183;142;Ürgenç;x
641;42;174;13;Dashoguz;x
642;126;165;139;Xvairizem;x
643;169;60;7;Kheyvak;x
644;169;162;37;Qyzylqum;x
645;1;150;35;Gijduvan;x
646;126;180;14;ßuxarak;x
647;0;186;15;Mouru;x
648;127;72;9;Alexandria Areios;x
649;43;81;138;Prophthasia;x
650;43;18;13;Zranka;x
651;1;45;145;Alexandria Sindhia;x
652;1;93;140;Tis;x
653;85;84;11;Pura;x
654;42;6;148;Hormuz;x
655;127;87;139;Arg-e Bam;x
656;168;0;147;Kerman;x
657;42;39;13;Estakhr;x
658;84;207;146;Sakastan;x
659;169;75;137;Haraiva;x
660;0;201;145;Dašt Gawirha;x
661;1;78;10;Beihagh;x
662;0;63;30;Seman;x
663;42;66;158;Amol;x
664;126;72;159;Arsakia Rhagae;x
665;168;60;157;Kum;x
666;42;21;23;Spahan;x
667;126;210;19;Yazd;x
668;126;12;149;Pârs;x
669;84;9;21;Konj;x
670;168;15;22;Shiraz;x
671;0;18;150;Bishapur;x
672;84;24;151;Humšer;x
673;126;27;24;Susa;x
674;84;54;156;Lorestan;x
675;126;57;29;Hagmatana;x
676;168;75;32;Shad Shahpur;x
677;84;69;31;Mazerun;x
678;42;81;33;Anzali;x
679;0;78;160;Daylam;x
680;84;84;161;T'awreš;x
681;0;93;35;Atropatkan;x
682;42;96;163;Syunik;x
683;126;87;34;Sharvan;x
684;126;102;164;Hereti;x
685;42;111;38;Kakheti;x
686;42;99;128;Iberia;x
687;0;96;0;Kolkheti;x
688;84;114;166;Lazika;x
689;168;120;167;Tashir;x
690;84;99;36;Dwin;x
691;84;129;41;Mardistan;x
692;42;141;43;Wurmiya;x
693;0;138;170;Gazaca;x
694;84;144;171;Kirkheni;x
695;126;147;44;Kirmanshah;x
696;168;150;172;Alamto;x
697;42;51;28;Idigna;x
698;0;48;155;Al-Kufah;x
699;168;30;152;Al-Basrah;x
700;168;45;27;Ar-Rummah;x
701;0;33;25;Kadhima;x
702;42;36;153;Ad-Dammam;x
703;126;42;154;Awal;x
704;84;39;26;Al-Hasa';x
705;126;180;219;Dubayy;x
706;84;177;91;Sohar;x
707;42;174;218;Masqat;x
708;0;171;90;Jiddat al-Harasis;x
709;168;168;217;Zufar;x
710;86;84;171;Suqutra;x
711;126;135;84;Mehri;x
712;168;138;212;Hadramawt;x
713;0;141;85;Qataban;x
714;42;144;213;Eudaemon;x
715;84;147;86;Zafar;x
716;126;150;214;Azal;x
717;42;84;148;Najran;x
718;168;153;87;'Asaryah;x
719;168;27;187;Makkah;x
720;0;156;215;Najd;x
721;42;159;88;Hajr;x
722;126;165;89;Rafha;x
723;84;162;216;Ha'il;x
724;126;24;59;Al-Madinah;x
725;0;30;60;Tihamat al-Hejaz;x
726;84;21;186;Ar-Rajajil;x
727;42;18;58;'Ar'ar;x
728;0;15;185;Turaif;x
729;84;159;46;;An Najaf;x
730;0;153;45;Al-Qadisiyah;x
731;126;162;174;Bagdad;x
732;168;165;47;Al-'Anbar;x
733;0;168;175;Samarra;x
734;42;171;48;As-Saffah;x
735;84;174;176;Nînewe;x
736;126;132;169;Biaina;x
737;42;186;178;Mardin;x
738;0;183;50;Rhesaena;x
739;126;177;49;Kallinikos;x
740;42;3;183;Dura-Europos;x
741;168;57;192;Palmyra;x
742;126;9;184;Ad-Darazi;x
743;168;12;57;Ruwaished;x
744;168;42;62;Rabbath Ammon;x
745;126;6;219;Ma'in;x
746;42;33;188;Tabouk;x
747;168;9;92;Al-'Aqabah;x
748;84;36;61;Petra;x
749;126;204;89;Sela;x
750;84;201;216;Areopolis;x
751;126;39;189;Madaba;x
752;0;45;190;Arabella;x
753;42;48;63;Al-Mafraq;x
754;84;6;56;Dionysias;x
755;126;54;64;Ash-Sham;x
756;42;63;193;Emesa;x
757;168;210;182;Chmemis;x
758;84;66;66;Epiphania;x
759;126;207;54;Hellenopolis;x
760;168;180;177;Edessa;x
761;84;189;51;Mousilikes;x
762;168;195;52;Theodosiopolis;x
763;42;126;168;Taochoi;x
764;0;123;40;Ani;x
765;126;117;39;Trapezounda;x
766;0;198;180;Pharnacia;x
767;126;84;69;Amisos;x
768;42;123;203;Paphlagonia;x
769;168;87;197;Sinope;x
770;0;90;70;Herakleia Pontike;x
771;42;93;198;Nikomedeia;x
772;84;96;71;Prousa;x
773;126;99;199;Mysia;x
774;168;102;72;Alexandria Troas;x
775;84;183;171;Lesvos;x
776;0;105;200;Smyrna;x
777;42;180;43;Ophioussa;x
778;42;108;73;Ephesos;x
779;126;171;169;Rhódos;x
780;84;111;201;Lykia;x
781;126;114;74;Laodikeia;x
782;168;117;202;Phrygia;x
783;168;132;77;Pisidia;x
784;0;135;205;Attaleia;x
785;0;120;75;Bithynia;x
786;126;129;204;Ancyra;x
787;84;126;76;Tavium;x
788;0;150;80;Mokissos;x
789;42;78;218;Nyssa;x
790;168;147;207;Ikónion;x
791;42;153;208;Kilikia;x
792;126;144;79;Seleukeia;x
793;42;138;78;Paphos;x
794;84;141;206;Salamis;x
795;84;156;81;Saros;x
796;42;78;68;Lykandos;x
797;84;81;196;Caesarea;x
798;42;201;53;Koloneia;x
799;84;204;181;Melitene;x
800;0;75;195;Pyramos;x
801;168;72;67;Antiocheia ad Taurus;x
802;126;159;209;Alexandria ad Issum;x
803;126;69;194;Beroea;x
804;168;162;82;Antiocheia;x
805;0;165;210;Thapsacus;x
806;42;168;83;Apameia;x
807;84;171;211;Tripolis;x
808;126;174;84;Heliopolis;x
809;168;177;212;Sepph;x
810;0;180;85;Laodicea in Phoenicia;x
811;42;183;213;Týros;x
812;84;186;86;Antiocheia Ptolemais;x
813;126;189;214;Tiberiás;x
814;168;192;87;Hierosolyma;x
815;0;195;215;Caesarea Palestinae;x
816;0;210;90;Ashkelon;x
817;42;198;88;Al-Halil;x
818;168;207;217;Be'er Sheva;x
819;42;0;218;Gazzah;x
820;84;18;221;Rhinokóroura;x
821;42;15;93;Ailath;x
822;0;12;220;Phoenicon;x
823;126;21;94;Pelousion;x
824;168;24;222;Tamiat;x
825;126;51;99;Bolbitinon;x
826;0;27;95;Kolzum;x
827;42;45;98;Al-Qahirah;x
828;126;144;129;Abutig;x
829;168;39;97;Syene;x
830;170;141;187;Adabos;x
831;126;129;99;Qasr Ibrim;x
832;2;144;60;Dongola;x
833;84;33;96;Ta-Seti;x
834;86;150;61;Usuk;x
835;128;153;189;Tokar;x
836;42;204;223;Blemmyae;x
837;84;207;96;Medewi;x
838;0;201;95;Alwa;x
839;170;156;62;Soba;x
840;126;210;224;Sennar;x
841;84;117;81;Gumuz;x
842;86;135;186;Gwažžam;x
843;126;120;209;Gwandar;x
844;44;207;198;Tigrinya;x
845;126;195;94;Axum;x
846;168;198;222;Ak'ordat;x
847;44;162;63;Missiwa;x
848;128;168;64;'Asäb;x
849;84;192;221;Tagórri;x
850;170;171;192;Danakil;x
851;2;174;65;Simen;x
852;44;177;193;Wag;x
853;2;204;70;Lakomelza;x
854;168;123;82;Ankober;x
855;126;3;154;Walalah;x
856;86;180;66;Damot;x
857;168;0;97;'Asosa;x
858;170;186;67;Bonga;x
859;128;183;194;Hirmata;x
860;86;195;196;Hadiya;x
