#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#text1.csv replacements
ALLOW_REVOKATION_ON;Revocation of titles Allowed\n;Annulation des titres autorisée;Entzug gewährter Titel gestattet;;Revocación de títulos permitida;;;;;;;;;x
EVTDESC39102;The Order of Brothers of the German House of Saint Mary in Jerusalem has been formed, sponsored by [ThePope.GetTitledFirstName] and the Holy Roman Emperor. The Teutonic Order, much like the Knights of St. John and the Knights Templar, primarily protect and care for pilgrims to the Holy Land, but will serve any good Catholic ruler willing to pay for their upkeep. Being a religious order, they will only fight against heretics and infidels.;L’ordre des frères de la maison germanique de Sainte-Marie à Jérusalem a été formé, parrainé par [ThePope.GetTitledFirstName] et par l’empereur romain germanique. Tout comme le font les chevaliers de St-Jean et les chevaliers templiers, l’ordre teutonique s’occupe principalement des pèlerins venant en Terre Sainte et les protège, mais ses membres serviront également tout souverain catholique prêt à payer pour leurs services. En tant qu’ordre religieux, ils ne combattront que les hérétiques et les infidèles.  ;Der Orden der Brüder vom deutschen Haus Sankt Mariens in Jerusalem wurde mit der Unterstützung von [ThePope.GetTitledFirstName] und des Heiligen Römischen Kaisers gegründet. Der Teutonische Orden beschützt, ähnlich wie die Ritter von St. John und den Tempelrittern, die Pilger zum Heiligen Land, wird aber jedem guten, katholischen Herrscher dienen der bereit ist, ihren Unterhalt zu zahlen. Als religiöser Orden kämpfen sie nur gegen Ketzer und Ungläubige.;;La Orden de los Hermanos de la Casa Alemana de Santa María en Jerusalén se ha formado, patrocinada por [ThePope.GetTitledFirstName] y el Santo Emperador Romano. La Orden Teutónica, al igual que los Caballeros de San Juan y los Caballeros Templarios, principalmente protegen y cuidan a los peregrinos a Tierra Santa, pero servirán a cualquier buen gobernante Católico dispuesto a pagar por su mantenimiento. Siendo una orden religiosa, sólo lucharán contra los herejes e infieles.;;;;;;;;;x
EVTOPTB65036;I thank [Root.Religion.GetRandomGodName] in private;Je rends grâce à Dieu en privé.;Ich danke dem Herrn im Stillen;;Doy gracias al Señor en privado;;;;;;;;;x
EVTOPTA72005;I send [Root.GetMarshalName] [Root.job_marshal.GetTitledFirstName] to deal with them;Je demande au Maréchal [Root.job_marshal.GetTitledFirstName] de s’en occuper.;Marschall [Root.job_marshal.GetTitledFirstName] soll sich um sie kümmern;;Enviaré al Alguacil [Root.job_marshal.GetTitledFirstName] a que se ocupe de ellos;;;;;;;;;x
EVTDESC72046;The wine was so smooth and good to drink it took a while before I realised I had drunk too much. In fact, I only realised it when [Root.Liege.GetTitledFirstName]'s [Root.Liege.GetTreasurerName] [Root.Liege.job_treasurer.GetTitledFirstName] asked me if I needed anything and I threw up on [Root.Liege.job_treasurer.GetHerHis] shoes.;Le vin était si bon qu’il m’a fallu un certain temps avant de réaliser que j’en avais trop bu. Je l’ai compris au moment où l'Intendant de [Root.Liege.GetTitledFirstName], [Root.Liege.job_treasurer.GetTitledFirstName], m’a demandé si j’avais besoin de quelque chose et que j’ai vomi sur ses chaussures.;Der Wein ging dermaßen glatt und süffig die Kehle hinunter, dass ich erst nach einiger Zeit merkte, wie viel ich getrunken hatte. Eigentlich merkte ich meine Trunkenheit erst dann, als mich [Root.Liege.GetTitledFirstName]s Verwalter [Root.Liege.job_treasurer.GetTitledFirstName] fragte, ob ich irgendetwas bräuchte. Bei dieser Gelegenheit erbrach ich mich nämlich auf [Root.Liege.job_treasurer.GetHerHis] Schuhe.;;El vino era tan suave y delicioso que tardé en darme cuenta de que había bebido demasiado. De hecho, solo me di cuenta cuando el mayordomo de [Root.Liege.GetTitledFirstName], [Root.Liege.job_treasurer.GetTitledFirstName], me preguntó si quería algo y le vomité en sus zapatos.;;;;;;;;;x
HINT_TECH_VIEW_TEXT_2;All Rulers above the rank of Count accumulate Technology Points in each of the three groups based on their Attributes.\nThese points can then be spent to increase the technological level in their capital.\nTechnology can also spread to neighbouring provinces, between demesne provinces or in Trade Zones.;Tous les souverains au-delà du titre de comte accumulent des points de technologie dans chacun des trois groupes en fonction de leurs attributs.\nCes points servent à améliorer le niveau technologique de leur capitale.\nLa technologie peut aussi s'étendre aux provinces voisines, d'une province à l'autre au sein d'un même domaine, ou dans les zones marchandes.;Alle Herrscher über dem Rank des Grafen sammeln Technologiepunkte in allen drei Gruppen, basierend auf ihren Werten.\nDiese Punkte können zur Erhöhung der Technologiestufe in ihrer Hauptstadt verwendet werden.\nDie Technologie kann sich auch auf benachbarte Provinzen ausbreiten, zwischen Herschaftsprovinzen oder in Handelszonen.;;Todos los Gobernantes con rango superior a Conde acumulan Puntos de Tecnología en cada uno de los tres grupos, en función de sus Atributos.\nEstos puntos se pueden gastar en aumentar el nivel tecnológico en su capital.\nLa tecnología puede extenderse también a provincias vecinas, entre provincias de dominio o en Zonas Comerciales.;;;;;;;;;x
INTERACTION_REQUIRES_PIETY;[Actor.GetBestName] has at least §Y$COST$§W Piety;[Actor.GetBestName] a au moins §Y$COST$§W de piété;[Actor.GetBestName] hat mindestens §Y$COST$§W Pietät;;[Actor.GetBestName] tiene al menos §Y$COST$§W de Piedad.;;;;;;;;;x
INTERACTION_REQUIRES_MONEY;[Actor.GetBestName] has at least §Y$COST$§W¤;[Actor.GetBestName] a au moins §Y$COST$§W¤;[Actor.GetBestName] hat mindestens §Y$COST$§W¤;;[Actor.GetBestName] tiene al menos §Y$COST$§W¤;;;;;;;;;x
INTERACTION_CROWN_TITLE_ALLOWS_REVOKATION;The Crown Authority of §Y$CROWN_TITLE$§! allows Revocation;L’autorité de la Couronne de §Y$CROWN_TITLE$§! autorise l’annulation;Die Kronenautorität von §Y$CROWN_TITLE$§! gestattet Titelentzug;;La Autoridad de la Corona de §Y$CROWN_TITLE$§! permite la revocación.;;;;;;;;;x
EVTDESC20358;My [Root.GetSpymasterName], [From.GetTitledName], has been murdered! It seems reasonable that the noble [From.GetSheHe] was investigating, [FromFrom.GetTitledName], is behind this, but I have no proof...;Maître-Espion, [From.GetTitledName] a été assassiné ! Le noble sur lequel il enquêtait, [FromFrom.GetTitledName], semble en être à l’origine, mais je n’ai aucune preuve...;Mein Agentenführer, [From.GetTitledName], wurde ermordet! Der Adlige, den er untersuchte, [FromFrom.GetTitledName], steckt vermutlich dahinter, aber ich habe keine Beweise ...;;¡Han asesinado a mi jefe de espías, [From.GetTitledName]! Ese noble al que investigaba, [FromFrom.GetTitledName], tiene que andar detrás de esto, pero no tengo pruebas...;;;;;;;;;x
MODIFIER_CHURCH_OPINION;Priest Opinion;Opinion de l’Église;Kirchenmeinung;;Opinión de la iglesia;;;;;;;;;x
MODIFIER_TOWN_OPINION;Burgher Opinion;Opinion de la cité;Stadtmeinung;;Opinión del pueblo;;;;;;;;;x
TECH_MARTIAL_VALUE;Base Military Technology Point Growth;Croissance de base des points de technologie militaire;Basis-Zuwachs Militärischer Technologiepunkte;;Centro de desarrollo de Tecnología Militar Base;;;;;;;;;x
TECH_STEWARDSHIP_VALUE;Base Economic Technology Point Growth;Croissance de base des points de technologie économique;Basis-Zuwachs Wirtschaftlicher Technologiepunkte;;Centro de desarrollo de Tecnología Económica Base;;;;;;;;;x
TECH_DIPLOMACY_VALUE;Base Cultural Technology Point Growth;Croissance de base des points de technologie culturelle;Basis-Zuwachs Kultureller Technologiepunkte;;Centro de desarrollo de Tecnología Cultural Base;;;;;;;;;x
SUPPLY_LIMIT_DESC;Supply is the number of troops (in thousands) that a county can support before they start to suffer attrition.;Le ravitaillement correspond aux troupes (en milliers) qu’un comté peut prendre en charge avant de présenter des signes d’usure.;Versorgung ist die Anzahl der Truppen (in 1000), die eine Grafschaft unterstützen kann, bevor sie Verluste erleiden.;;Los pertrechos son el número de tropas (en miles) que un condado puede proveer hasta el desgaste.;;;;;;;;;x
EVTNAME917;[Root.GetSpymasterName] Discovered;[Root.GetSpymasterName] démasqué;[Root.GetSpymasterName] ertappt;;[Root.GetSpymasterName] descubierto;;;;;;;;;x
IMPASSABLE;§YTerra Incognita§!;;;;;;;;;;;;;x
succession_on_liege_desc;§Y$CLAIMANT$§! was a pretender to the §Y$TITLE$§! when the old ruler died, granting the possibility to start a fullblown Succession Crisis;Le(la) §Y$CLAIMANT$§! avait des vues sur le §Y$TITLE$§! à la mort de l’ancien souverain, d’où la possibilité de déclencher une crise de succession.;§Y$CLAIMANT$§! war beim Ableben des alten Herrschers ein Anwärter auf den Titel §Y$TITLE$§!, was nun einen massiven Nachfolgekrieg möglich macht.;;§Y$CLAIMANT$§! era pretendiente al §Y$TITLE$§! cuando murió el antiguo gobernante, haciendo posible el comienzo de una crisis de sucesión completa;;;;;;;;;x
other_succession_desc;§Y$CLAIMANT$§! was a pretender to the §Y$TITLE$§! when the old ruler died, granting §Y$PRESSER$§! the possibility to start a fullblown Succession Crisis on their behalf;Le(la) §Y$CLAIMANT$§! avait des vues sur le §Y$TITLE$§! à la mort de l’ancien souverain, d’où la possibilité pour le(la) §Y$PRESSER$§! de déclencher une crise de succession en son nom.;§Y$CLAIMANT$§! war beim Ableben des alten Herrschers ein Anwärter auf den Titel §Y$TITLE$§!, was §Y$PRESSER$§! nun die Möglichkeit gibt, an ihrer Statt einen massiven Nachfolgekrieg vom Zaun zu brechen.;;§Y$CLAIMANT$§! era pretendiente al §Y$TITLE$§! cuando murió el antiguo gobernante, permitiendo a §Y$PRESSER$§! comenzar una crisis de sucesión completa en su nombre;;;;;;;;;x
other_succession_on_liege_desc;§Y$CLAIMANT$§! was a pretender to the §Y$TITLE$§! when the old ruler died, granting §Y$PRESSER$§! the possibility to start a fullblown Succession Crisis on their behalf;Le(la) §Y$CLAIMANT$§! avait des vues sur le §Y$TITLE$§! à la mort de l’ancien souverain, d’où la possibilité pour le(la) §Y$PRESSER$§! de déclencher une crise de succession en son nom.;§Y$CLAIMANT$§! war beim Ableben des alten Herrschers ein Anwärter auf den Titel §Y$TITLE$§!, was §Y$PRESSER$§! nun die Möglichkeit gibt, an seiner Statt einen massiven Nachfolgekrieg vom Zaun zu brechen.;;§Y$CLAIMANT$§! era pretendiente al §Y$TITLE$§! cuando murió el antiguo gobernante, permitiendo a §Y$PRESSER$§! comenzar una crisis de sucesión completa en su nombre;;;;;;;;;x
#text2.csv replacements
EVTDESC73201;[From.GetBestName] claims that [From.GetSheHe] would be a better [Root.GetMarshalName] than [Root.job_marshal.GetTitledFirstName], and petitions that [From.GetSheHe] should be given the title of [Root.GetMarshalName] of the [Root.PrimaryTitle.GetFullName].;[From.GetBestName] prétend qu'[From.GetSheHe] ferait un meilleur Maréchal que [Root.job_marshal.GetTitledFirstName], et réclame le titre de Maréchal de [Root.PrimaryTitle.GetFullName].;[From.GetBestName] behauptet, dass [From.GetSheHe]ein besserer Marschall als [Root.job_marshal.GetTitledFirstName] wäre und ersucht darum, dass [From.GetSheHe] den Titel des Marschalls von [Root.PrimaryTitle.GetFullName] erhalten möge.;;[From.GetBestName] afirma que [From.GetSheHe] sería mejor Mariscal que [Root.job_marshal.GetTitledFirstName] y solicita que se le otorgue a [From.GetSheHe] el título de Mariscal de [Root.PrimaryTitle.GetFullName].;;;;;;;;;x
EVTOPTA73201;[From.GetSheHeCap] is now my new [Root.GetMarshalName];[From.GetSheHeCap] est désormais mon nouveau Maréchal.;[From.GetSheHeCap] ist von nun an mein neuer Marschall;;Ahora [From.GetSheHe] es mi nuevo Mariscal;;;;;;;;;x
EVTDESC73202;My liege [From.GetBestName] is not entirely happy with our performance as [From.GetMarshalName] of the [Root.PrimaryTitle.GetFullName], and is considering our replacement..;Mon Seigneur [From.GetBestName] n'est pas satisfait de nos exploits en tant que Maréchal de [Root.PrimaryTitle.GetFullName] et songe à nous remplacer.;Unser Lehensherr [From.GetBestName] ist nicht allzu glücklich mit unserer Leistung als Marschall von [Root.PrimaryTitle.GetFullName] und erwägt, uns zu ersetzen ...;;Mi señor [From.GetBestName] no está del todo satisfecho con nuestro rendimiento como Mariscal de [Root.PrimaryTitle.GetFullName] y está considerando sustituirnos...;;;;;;;;;x
EVTDESC73203;Enough time has passed, I deserve to become [Root.Liege.GetMarshalName] of the [Root.PrimaryTitle.GetFullName], and [Root.Liege.GetTitledFirstName] will make me it!;Assez d'eau a coulé sous les ponts ! Je mérite de devenir Maréchal de [Root.PrimaryTitle.GetFullName], et [Root.Liege.GetTitledFirstName] me conférera ce titre !;Es ist genug Zeit vergangen und ich verdiene es, Marschall von [Root.PrimaryTitle.GetFullName] zu werden und  [Root.Liege.GetTitledFirstName] wird mich dazu machen!;;Ha transcurrido tiempo suficiente, merezco convertirme en Mariscal de [Root.PrimaryTitle.GetFullName] ¡y [Root.Liege.GetTitledFirstName] lo hará!;;;;;;;;;x
EVTOPTA73204;[From.GetSheHeCap] is now my new [Root.GetMarshalName];[From.GetSheHeCap] est désormais mon nouveau Maréchal.;[From.GetSheHeCap] ist von nun an mein neuer Marschall;;[From.GetSheHeCap] es ahora mi nuevo Mariscal;;;;;;;;;x
EVTDESC73210;It is sad that [Root.Liege.GetTitledFirstName] is employing [Root.job_spymaster.GetTitledFirstName] as [Root.Liege.GetHerHis] [Root.Liege.GetSpymasterName]. I am more competent and would be a better Spymaster!;C'est triste que [Root.Liege.GetTitledFirstName] recrute [Root.job_spymaster.GetTitledFirstName] en tant que Maître-Espion. Je suis plus compétent et ferais un bien meilleur Maître-Espion !;Es ist traurig, dass [Root.Liege.GetTitledFirstName] [Root.job_spymaster.GetTitledFirstName]als [Root.Liege.GetHerHis] Meisterspion einstellt. Ich verfüge über mehr Kompetenz und wäre ein besserer Meisterspion!;;Es una lástima que [Root.Liege.GetTitledFirstName] emplee a [Root.job_spymaster.GetTitledFirstName] como Maestro de Espías. ¡Yo soy más competente y sería mejor Maestro de Espías!;;;;;;;;;x
EVTDESC73211;[From.GetBestName] claims that [From.GetSheHe] would be a better [Root.GetSpymasterName] than [Root.job_spymaster.GetTitledFirstName], and petitions that [From.GetSheHe] should be given the title of [Root.GetSpymasterName] of the [Root.PrimaryTitle.GetFullName].;[From.GetBestName] prétend qu'[From.GetSheHe] ferait un meilleur Maître-Espion que [Root.job_spymaster.GetTitledFirstName], et réclame le titre de Maître-Espion de [Root.PrimaryTitle.GetFullName].;[From.GetBestName] behauptet, dass [From.GetSheHe]ein besserer Meisterspion als [Root.job_spymaster.GetTitledFirstName] wäre und ersucht darum, dass [From.GetSheHe] den Titel des Meisterspions von [Root.PrimaryTitle.GetFullName] zugesprochen bekäme.;;[From.GetBestName] afirma que [From.GetSheHe] sería mejor Maestro de Espías que [Root.job_spymaster.GetTitledFirstName] y solicita que se le otorgue a [From.GetSheHe] el título de Maestro de Espías de [Root.PrimaryTitle.GetFullName].;;;;;;;;;x
EVTOPTA73211;[From.GetSheHeCap] is now my new [Root.GetSpymasterName];[From.GetSheHeCap] est désormais mon nouveau Maître-Espion.;[From.GetSheHeCap] ist von nun an mein neuer Meisterspion;;[From.GetSheHeCap] es ahora mi nuevo Maestro de Espías;;;;;;;;;x
EVTDESC73212;My liege [From.GetBestName] is not entirely happy with our performance as [From.GetSpymasterName] of the [Root.PrimaryTitle.GetFullName], and is considering our replacement..;Mon Seigneur [From.GetBestName] n'est pas satisfait de nos exploits en tant que Maître-Espion de [Root.PrimaryTitle.GetFullName] et songe à nous remplacer.;Unser Lehensherr [From.GetBestName] ist nicht allzu glücklich mit unserer Leistung als Meisterspion von [Root.PrimaryTitle.GetFullName] und erwägt unsere Ablösung ...;;Mi señor [From.GetBestName] no está del todo contento con nuestro rendimiento como Maestro de Espías de [Root.PrimaryTitle.GetFullName] y está considerando sustituirnos...;;;;;;;;;x
EVTDESC73213;Enough time has passed, I deserve to become [Root.Liege.GetSpymasterName] of the [Root.PrimaryTitle.GetFullName], and [Root.Liege.GetTitledFirstName] will make me it!;Assez d'eau a coulé sous les ponts ! Je mérite de devenir Maître-Espion de [Root.PrimaryTitle.GetFullName], et [Root.Liege.GetTitledFirstName] me conférera ce titre !;Es ist genug Zeit vergangen und ich verdiene es, Meisterspion von [Root.PrimaryTitle.GetFullName] zu werden und  [Root.Liege.GetTitledFirstName] wird mich dazu machen!;;Ha transcurrido tiempo suficiente, merezco convertirme en Maestro de Espías de [Root.PrimaryTitle.GetFullName] ¡y [Root.Liege.GetTitledFirstName] lo hará!;;;;;;;;;x
EVTOPTA73214;[From.GetSheHeCap] is now my new [Root.GetSpymasterName];[From.GetSheHeCap] est désormais mon nouveau Maître-Espion.;[From.GetSheHeCap] ist von nun an mein neuer Meisterspion;;[From.GetSheHeCap] es ahora mi nuevo Maestro de Espías;;;;;;;;;x
EVTDESC73215;My dear and trustworthy [This.GetBestName].\nI hereby grant you the title of [From.GetSpymasterName] of the [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];[This.GetBestName], vous êtes digne de confiance. \nJe vous accorde le titre de Maître-Espion de [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];Mein/e liebe/r und vertrauenswürdige/r [This.GetBestName].\nIch gewähre Euch hiermit den Titel des Meisterspions  von [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];;Mi querido y leal [This.GetBestName].\nPor la presente os concedo el título de Maestro de Espías de [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];;;;;;;;;x
EVTDESC73221;[From.GetBestName] claims that [From.GetSheHe] would be a better [Root.GetTreasurerName] than [Root.job_treasurer.GetTitledFirstName], and petitions that [From.GetSheHe] should be given the title of [Root.GetTreasurerName] of the [Root.PrimaryTitle.GetFullName].;[From.GetBestName] prétend qu'[From.GetSheHe] ferait un meilleur intendant que [Root.job_treasurer.GetTitledFirstName], et réclame le titre d'Intendant de [Root.PrimaryTitle.GetFullName].;[From.GetBestName] behauptet dass [From.GetSheHe]ein besserer Hofverwalter als [Root.job_treasurer.GetTitledFirstName] wäre und ersucht darum, dass [From.GetSheHe] den Titel des Hofmeisters von [Root.PrimaryTitle.GetFullName] zugesprochen bekäme.;;[From.GetBestName] afirma que [From.GetSheHe] sería mejor [Root.GetTreasurerName] que [Root.job_treasurer.GetTitledFirstName] y solicita que se le otorgue a [From.GetSheHe] el título de [Root.GetTreasurerName] de [Root.PrimaryTitle.GetFullName].;;;;;;;;;x
EVTOPTA73221;[From.GetSheHeCap] is now my new [Root.GetTreasurerName];[From.GetSheHeCap] est désormais mon nouvel intendant.;[From.GetSheHeCap] ist von nun an mein neuer Hofmeister;;[From.GetSheHeCap] es ahora mi nuevo [Root.GetTreasurerName];;;;;;;;;x
EVTDESC73222;My liege [From.GetBestName] is not entirely happy with our performance as [From.GetTreasurerName] of the [Root.PrimaryTitle.GetFullName], and is considering our replacement..;Mon Seigneur [From.GetBestName] n'est pas satisfait de nos exploits en tant qu'Intendant de [Root.PrimaryTitle.GetFullName] et songe à nous remplacer.;Unser Lehensherr [From.GetBestName] ist nicht allzu glücklich mit unserer Leistung als Hofmeister von [Root.PrimaryTitle.GetFullName] und erwägt, uns auszutauschen ...;;Mi señor [From.GetBestName] no está del todo contento con nuestro rendimiento como [Root.GetTreasurerName] de [Root.PrimaryTitle.GetFullName] y está considerando sustituirnos...;;;;;;;;;x
EVTDESC73223;Enough time has passed, I deserve to become [Root.Liege.GetTreasurerName] of the [Root.PrimaryTitle.GetFullName], and [Root.Liege.GetTitledFirstName] will make me it!;Assez d'eau a coulé sous les ponts ! Je mérite de devenir Intendant de [Root.PrimaryTitle.GetFullName], et [Root.Liege.GetTitledFirstName] me conférera ce titre !;Es ist genug Zeit verstrichen und ich verdiene es, Hofmeister von [Root.PrimaryTitle.GetFullName] zu werden und  [Root.Liege.GetTitledFirstName] wird mich dazu machen!;;Ha transcurrido tiempo suficiente, merezco convertirme en [Root.GetTreasurerName] de [Root.PrimaryTitle.GetFullName] ¡y [Root.Liege.GetTitledFirstName] lo hará!;;;;;;;;;x
EVTOPTA73224;[From.GetSheHeCap] is now my new [Root.GetTreasurerName];[From.GetSheHeCap] est désormais mon nouvel intendant.;[From.GetSheHeCap] ist von nun an mein neuer Hofmeister;;Ahora [From.GetSheHe] es mi nuevo [Root.GetTreasurerName];;;;;;;;;x
EVTDESC73225;My dear and trustworthy [This.GetBestName].\nI hereby grant you the title of [From.GetTreasurerName] of the [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];[This.GetBestName], vous êtes digne de confiance. \nJe vous accorde le titre d'Intendant de [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];Mein/e liebe/r und vertrauenswürdige/r [This.GetBestName].\nIch gewähre Euch hiermit den Titel eines Hofmeisters von [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];;Mi querido y leal [This.GetBestName].\nPor la presente os concedo el título de [Root.GetTreasurerName] de [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];;;;;;;;;x
EVTOPTA73241;[From.GetSheHeCap] is now my new [Root.GetChancellorName].;[From.GetSheHeCap] est désormais mon nouveau [Root.GetChancellorName].;[From.GetSheHeCap] ist von nun an mein neuer [Root.GetChancellorName];;[From.GetSheHeCap] es ahora mi nuevo [Root.GetChancellorName];;;;;;;;;x
