EVTDESCsiegenoenemy;[Root.PrimaryTitle.GetFOA], their leader is not here...;[Root.PrimaryTitle.GetFOA], il n'est pas là…;;;;;;;;;;;;;x
EVTOPTAnoenemy1;Leave them all be.;Laissez-les partir.;;;;;;;;;;;;;x
EVTOPTAnoenemy2;We will ask their family along with us, then.;Nous allons prendre sa famille avec nous dans ce cas.;;;;;;;;;;;;;x
EVTOPTAwaylitfriendlycapture;Liberated!;Libéré !;;;;;;;;;;;;;x
EVTDESCWAYsearchdungeons;Yes, [Root.PrimaryTitle.GetFOA], we will search the dungeons at once!;Oui [Root.PrimaryTitle.GetFOA], nous allons nous rendre dans les cachots !;;;;;;;;;;;;;x
EVTOPWAYprisonrelease01;Release all prisoners.;Relâchez tous les prisonniers.;;;;;;;;;;;;;x
EVTOPWAYprisonrelease02;Release anybody with whom we have common cause.;Relâchez toutes les personnes qui soutiennent notre cause.;;;;;;;;;;;;;x
EVTOPWAYprisonrelease03;Release only my relatives. Some of these other fellows look like they are here for a good reason...;Relâchez seulement mes parents. Les autres semblent être ici pour de bonnes raisons…;;;;;;;;;;;;;x
EVTOPWAYprisonrelease04;Whomever these people are, they smell like they belong here...;Qui que soient ces gens, il semble que leur place se trouvent ici…;;;;;;;;;;;;;x
EVTDESCWAYsiegepulseflee;[Root.PrimaryTitle.GetFOA], an enemy host approaches intent on encicling the castle.  What shall we do?;[Root.PrimaryTitle.GetFOA], une armée ennemie approche avec l'intention d'encercler le château. Que devons-nous faire ?;;;;;;;;;;;;;x
EVTNAMEWAYsiegepulseflee;Fight or Flee?;Faut-il se battre ou fuir ?;;;;;;;;;;;;;x
EVTOPTWAYsiegepulseflee01;This castle is impregnable. We will be safest here.;Ce château est imprenable, nous serons plus en sécurité ici.;;;;;;;;;;;;;x
EVTOPTWAYsiegepulseflee02;Send my family into hiding, I cannot risk them being captured.;Envoyez ma famille se cacher. Je ne peux pas prendre le risque de les voir capturés.;;;;;;;;;;;;;x
EVTOPTWAYsiegepulseflee03;I will take my family and hide until it is safe. You stay here to defend the keep...;Je vais prendre ma famille et la cacher jusqu'à ce que cela soit plus sûr. Vous autres, restez ici pour défendre le fort…;;;;;;;;;;;;;x
EVTNAMEWAYsiegeescape;An opportunity presents itself!;Une occasion se présente !;;;;;;;;;;;;;x
EVTDESCWAYsiegeescape;[Root.PrimaryTitle.GetFOA], the situation looks dire. If no relief comes soon you could fall into the hands of the enemy. The time to escape is now...we may not get another chance!;[Root.PrimaryTitle.GetFOA], la situation empire d'heure en heure. Sans arrivé de renforts, j'ai bien peur que vous ne tombiez entre les mains de nos ennemis. Nous devons nous échapper immédiatement… nous n'aurons peut-être pas d'autre autre chance !;;;;;;;;;;;;;x
EVTOPTWAYsiegesescapeattempt01;Slip out a postern door at midnight.;Vous échapper par la porterne à minuit.;;;;;;;;;;;;;x
EVTOPTWAYsiegesescapeattempt02;Brave the sewers.;Passer par les égoûts.;;;;;;;;;;;;;x
EVTOPTWAYsiegesescapeattempt03;Just give me a rope...;Donnez-moi juste une corde…;;;;;;;;;;;;;x
EVTOPTWAYsiegesescapeattempt04;I think it's better that we wait...I just hope we get another chance.;Je pense qu'il est préférable d'attendre… J'espère seulement avoir une autre chance.;;;;;;;;;;;;;x
EVTDESCRWAYnotifyofcapture1;Just as I thought I had made it to freedom, a group of armed men appear under the banner of my foe. Exhausted from my escape, it is all I can do to croak the word 'yield.';Au moment même où je pensais m'être échappé, un groupe d'hommes armés et portant la bannière de mon ennemi apparait. Epuisé par ma tentative d'évasion, j'ai à peine la force de murmurer 'je me rends'.;;;;;;;;;;;;;x
EVTDESCRWAYnotifyofcapture2;[Root.PrimaryTitle.GetFOA], we've caught the enemy commander sneaking out the castle!;[Root.PrimaryTitle.GetFOA], nous avons capturé le commandant ennemi alors qu'il tentait de s'échapper furtivement du château !;;;;;;;;;;;;;x
EVTNAMEWAYnotifyofoutcome;Escape Attempt;Tentative de fuite;;;;;;;;;;;;;x
EVTTOOLTIPsiegecapturedenemy;[Root.GetTitledName] is imprisoned by the enemy.;[Root.GetTitledName] est emprisonné par l'ennemi.;;;;;;;;;;;;;x
EVTTOOLTIPsiegeescaped;[Root.GetTitledName] escapes to the countryside!;[Root.GetTitledName] a fuit dans la campagne ! ;;;;;;;;;;;;;x
EVTOPWAYsiegecapture01;Take them back to my castle dungeons immediately!;Ramenez-les dans les cachots de mon château ! Immédiatement !;;;;;;;;;;;;;x
EVTOPWAYsiegecapture02;Damn you all to hell!;Que les Sept Enfers vous emportent !;;;;;;;;;;;;;x
EVTDESCRWAYnotifyofescape01;In the dead of night, as a low mist hung about the curtain wall, you creep out a postern door and float across the moat on an inflated sheepskin. It's only by the ineptitude of the enemy watch that you stagger, dripping wet, through the siege lines and to the safety of a nearby wood. Thanks be to God! ... Although any family left behind is likely angry with us...;Au cœur de la nuit, alors que la brume envahit les courtines, vous vous faufilez jusqu'à la poterne et rampez jusqu'aux douves que vous traversez, flottant sur une peau de mouton. L'incompétence des gardes ennemis vous permet de traverser silencieusement les lignes de siège et de gagner la sécurité du couvert du bois. Bénis soient les dieux... même si les membres de votre famille laissés derrière risque de vous en vouloir. ;;;;;;;;;;;;;x
EVTDESCRWAYnotifyofescape02;Your steward leads you down into the store rooms to a passage you didn't even know existed. Beyond it, a dismal tunnel full of death and decay, and you are only too glad to reach the moat and relatively fresh water. I hope I never have to do that again! It only now occurs to me that any family left behind is likely angry with me for leaving them in the hands of the enemy.;Votre intendant vous conduit jusqu'aux réserves dans les sous-sols du château. Il vous montre un passage dont vous n'imaginiez même pas l'existence. Laissant derrière vous l'intendant, vous vous faufilez dans l'étroit tunnel sombre. Le cheminement est difficile, vous devez souvent ramper dans la boue et les immondices. Au bout d'un moment vous finissez par déboucher sur les douves. L'eau fraîche est une bénédiction après un tel enfer, vous vous laissez dériver jusqu'à un petit bois où vous êtes désormais en sécurité. Alors que vous sortez de l'eau, mouillé et crotté, vous vous rendez soudainement compte que les membres de votre famille restés dans le château n'apprécieront pas que vous les ayez laissés aux mains de l'ennemi.;;;;;;;;;;;;;x
EVTDESCRWAYnotifyofescape03;They said only a lunatic would attempt climbing down the southeast wall, and certainly the enemy agreed! A near thing, too, when my foot slipped on that patch of moss. My brush with death over with, and safety assured, it only now occurs to me that any family left behind will see this as a desertion, not a bold deed of heroism...;Ils disaient que seul un fou tenterait de descendre par le mur sud. Vos ennemis devaient en penser autant, puisqu'aucun d'entre eux ne vous attend au bas du mur. Alors que vous enlevez la corde avec laquelle vous êtes descendu en rappel, vous vous rendez compte que les membres de famille que vous avez laissé derrière vous verront là non pas un acte de bravoure mais une vulgaire désertion... ;;;;;;;;;;;;;x
EVTTOOLWAYfamilyhatesyou;is imprisoned by the enemy and any family members left behind in the castle aren't too happy about it.;est emprisonné par l'ennemi et tous les membres de sa famille restés dans le château n'apprécie guère sa tentative d'évasion.;;;;;;;;;;;;;x
EVTDESCswapletterenemy;[From.GetTitledName] would like to arrange a prisoner exchange.;[From.GetTitledName] voudrait organiser un échange de prisonnier. ;;;;;;;;;;;;;x
EVTDESCswapletterroot;[Root.PrimaryTitle.GetFOA], shall we send letters out requesting a meet for prisoner exchange?;[Root.PrimaryTitle.GetFOA], devons-nous envoyer un message demandant une entrevue pour l'échange de prisonniers ?;;;;;;;;;;;;;x
EVTDESCswapletteraccept;The prisoner exchange has been accepted!;L'échange de prisonniers a été accepté !;;;;;;;;;;;;;x
EVTNAMEWAYprisonerswap;Prisoner Exchange;Echange de prisonniers;;;;;;;;;;;;;x
arrange_prisoner_swap;Arrange an exchange of hostages;Organiser un échange d'otages;;;;;;;;;;;;;x
arrange_prisoner_swap_desc;Arrange an exchange of hostages;Organiser un échange d'otages;;;;;;;;;;;;;x
EVTDESCswapletterprisoner;Your guard lets it slip that there may be a prisoner exchange soon...;Votre geôlier vous laisse entendre qu'il pourrait y avoir bientôt un échange de prisonniers...;;;;;;;;;;;;;x
EVTOPWAYswap3op1;Exchange all noble prisoners.;Echanger tous les prisonniers nobles.;;;;;;;;;;;;;x
bring_out_of_hiding;Call Family out of Hiding;Demander aux membres de votre famille de sortir de leur cachette;;;;;;;;;;;;;x
bring_out_of_hiding_desc;The war is over, our castle is now safe. It is time to call my family out of hiding.;Enlève 'Caché dans la campagne', 'Fidèle Défenseur' et 'Laissé pour compte lors du siège' à tous les membres de votre dynastie et de vos conjoints se trouvants à vos côtés.;;;;;;;;;;;;;x
request_important_prisoners;Demand Important Prisoners from Vassals;Demander leurs prisonniers importants à vos vassaux;;;;;;;;;;;;;x
request_important_prisoners_desc;Any prisoners ranked above Master are transferred to your dungeons.;Tous les prisonniers dont le rang est plus élevé qu'un Maître sont transférés dans vos cachots.;;;;;;;;;;;;;x
EVTTOOLTIPprisreq;Prisoner is moved to your dungeons.;Les prisonniers sont envoyés dans vos cachots.;;;;;;;;;;;;;x
EVTDESC1100099998;I'm sending an emissary, we'll see if they surrender their castle;J'ai envoyé un émissaire, nous verrons s'ils livrent leur château;;;;;;;;;;;;x;x
EVTDESC1100099999;You are doomed, move out of your castle and you'll be unmolested;Vous êtes condamnés, évacuez votre château et aucun mal ne vous sera fait;;;;;;;;;;;;x;x
EVTDESC1100100000;We Accept your proposal and deliver you the castle;Nous acceptons votre proposition et vous livrons le château;;;;;;;;;;;;x;x
EVTDESC1100100001;Don't count on us acting as cowards, I will meet you on the walls;Ne comptez pas sur nous pour agir comme des lâches, je vous rencontrerai sur les murs;;;;;;;;;;;;x;x
EVTDESC110009995;[Root.PrimaryTitle.GetFOA], I am pleased to report I have captured some high value prisoners after our successful siege of [FromFrom.GetName]. I hereby turn them over to you for your judgement.\n\nYours Humbly\n[From.GetTitledFirstName];[Root.PrimaryTitle.GetFOA], je suis heureux de vous apprendre que j'ai fais des prisonniers ayant une grande valeur après votre prise de [FromFrom.GetName]. Je vous les envoie devant vous pour que vous les jugiez.\n\nVotre humble serviteur\n[From.GetTitledFirstName];;;;;;;;;;;;;x
EVTOP110009995;Send them to my dungeon!;Menez les dans mes cachots !;;;;;;;;;;;;;x
EVTDESC110009997;[Root.PrimaryTitle.GetFOA], I am grieved to report that [From.GetTitledFirstName]'s men have caused much damage to the castle and countryside after their siege of [FromFrom.GetName].;[Root.PrimaryTitle.GetFOA], c'est avec peine que je dois vous apprendre que les hommes de [From.GetTitledFirstName] ont gravement endommagé le château et ravagé les campagnes après leur siège de [FromFrom.GetName].;;;;;;;;;;;;;x
EVTOP110009997;This is bad news;Voilà une bien mauvaise nouvelle.;;;;;;;;;;;;;x
EVTDESC110009998;After [From.GetHerHis] merciless siege of [FromFrom.GetName], [From.GetTitledFirstName] has taken me prisoner!;Après le siège sans pitié de [FromFrom.GetName], [From.GetTitledFirstName] m'a fait prisonnier !;;;;;;;;;;;;;x
EVTOP110009998;Oh dear;Oh non !;;;;;;;;;;;;;x
EVTDESC110009999;After [From.GetHerHis] heroic siege of [FromFrom.GetName], [From.GetTitledFirstName] has decided to release you from prison.;Après son siège héroïque de [FromFrom.GetName], [From.GetTitledFirstName] a décidé de vous libérer de prison. ;;;;;;;;;;;;;x
EVTOP110009999;Sweet freedom!;Liberté !;;;;;;;;;;;;;x
TOOLTIPmodifier_hidden;[This.GetFirstName] shall be taken into hiding\n;[This.GetFirstName] sera caché(e)\n;;;;;;;;;;;;;x
EVTOPTWAYsiegepulseDRAGON;I'll just fly away;Je vais juste m'envoler.;;;;;;;;;;;;;x
TOOLTIPsiegepulseDRAGON;[Root.GetTitledFirstName] flys away on [Root.GetHerHis] Dragon to [This.GetName]\n;[Root.GetTitledFirstName] s'enfuit à [This.GetName] sur son dragon\n;;;;;;;;;;;;;x
