#New Hellenic Events;;;;;;;;;;;;;;x
VIET_nyx_devotee;Blessed by Nox;Béni par Nox;;;;;;;;;;x;x
VIET_nyx_devotee_desc;There are those who say that this person, whether they like it or not, has received the blessing of the deity Nox, also known as Nyx to the Greeks.;Il y a ceux qui disent que cette personne, que cela plaise ou non, a reçu la bénédiction de la divinité Nox, également connue sous le nom de Nyx auprès des Grecs.;;;;;;;;;;x;x
VIET_aphrodites_dream_blessing;Blessed by Venus;Béni par Vénus;;;;;;;;;;x;x
VIET_aphrodites_dream_blessing_desc;Venus of the Myrtle, Venus the Changer of Hearts, Venus the Heavenly - she who is the goddess of beauty and love has graced this person with her blessing in a dream.;Vénus du Myrtle, Vénus la Changeuse de Cœur, Vénus la Céleste - elle qui est la déesse de la beauté et de l'amour a honoré cette personne de sa bénédiction dans un rêve.;;;;;;;;;;x;x
VIET_epona_statue;Epona Statue;Statue d'Epona;;;;;;;;;;x;x
VIET_epona_statue_desc;One of the towns in this province recently dedicated a new statue to the Gallo-Roman deity Epona, the goddess of horses, donkeys, and fertility.;Une des villes de cette province a récemment dédié une nouvelle statue à la divinité gallo-romaine Epona, déesse des chevaux, des ânes et de la fertilité.;;;;;;;;;;x;x
VIET_greek_mythology_idle_thoughts;Idle Thoughts about Hellenic Myths;Idées sur les mythes helléniques;;;;;;;;;;x;x
VIET_greek_mythology_idle_thoughts_desc;This character has been thinking about the Hellenic myths, though not in a particularly deep manner.;Ce personnage a pensé aux mythes helléniques, mais pas de manière particulièrement profonde.;;;;;;;;;;x;x
VIET_ceres_hanging;Hanging for Ceres;Suspendu pour Cérès;;;;;;;;;;x;x
VIET_ceres_hanging_desc;Recently, a known farmer in this province attempted to use magical charms to curse the crops of his neighbor. Such an affront to the various deities, Ceres among them, meant that he had to be executed by hanging in the name of Ceres. Nevertheless, the fact that there are locals using dark magics, offending gods and mortals alike, is of great concern. There will be unrest for some time as the people living here are growing suspicious of one another.;Récemment, un agriculteur connu dans cette province a tenté d'utiliser des charmes magiques pour maudire les récoltes de son voisin. Un tel affront aux diverses divinités, dont Cérès, impliquait qu'il devait être exécuté par pendaison au nom de Cérès. Néanmoins, le fait qu'il y ait des locaux utilisant la magie noire, offensant les dieux comme les mortels, est très préoccupant. Il y aura des troubles pendant un certain temps à mesure que les personnes vivant ici se méfieront les unes des autres.;;;;;;;;;;x;x
VIET_glaucus_herb;Glaucus Herb;Herbe de Glaucus;;;;;;;;;;x;x
VIET_glaucus_herb_desc;Some superstitious locals believe they have discovered the herb known as 'dog's tooth' in various parts of this province. According to legend, this was the same herb that the fisherman Glaucus ate to become immortal.;Certains habitants superstitieux pensent avoir découvert l'herbe appelée «chien dent» dans diverses parties de la province. Selon la légende, il s'agirait de la même herbe que le pêcheur Glaucus a mangé pour devenir immortel.;;;;;;;;;;x;x
VIET_glaucus_herb_good;Tried the Herb of Glaucus;A essayé l'herbe de Glaucus;;;;;;;;;;x;x
VIET_glaucus_herb_good_desc;This character was foolish enough to try an herb that superstitious peasants thought to be the same 'dog's tooth' that gave the legendary fisherman Glaucus immortality. Fortunately, it seems that the herb did have some beneficial effects.;Ce personnage était assez stupide pour essayer une herbe que les paysans superstitieux pensaient être la même "chien dent" que celle qui a donné l'immortalité au légendaire pêcheur Glaucus. Heureusement, il semble que l'herbe ait eu certains effets bénéfiques.;;;;;;;;;;x;x
VIET_glaucus_herb_bad;Tried the Herb of Glaucus;A essayé l'herbe de Glaucus;;;;;;;;;;x;x
VIET_glaucus_herb_bad_desc;This character was foolish enough to try an herb that superstitious peasants thought to be the same 'dog's tooth' that gave the legendary fisherman Glaucus immortality. Unfortunately, it seems that the herb had some negative effects.;Ce personnage était assez stupide pour essayer une herbe que les paysans superstitieux pensaient être la même "chien dent" que celle qui a donné l'immortalité au légendaire pêcheur Glaucus. Malheureusement, il semble que l'herbe ait eu des effets négatifs.;;;;;;;;;;x;x
VIET_flora_statue;Statue of Flora;Statue de Flora;;;;;;;;;;x;x
VIET_flora_statue_desc;This character recently bought a statue of the goddess Flora to decorate their residence. It is quite beautiful! The craftsmanship looks excellent. Such a statue is surely a blessing.;Ce personnage a récemment acheté une statue de la déesse Flora pour décorer sa demeure. C'est assez beau ! Le savoir-faire est excellent. Une telle statue est sûrement une bénédiction.;;;;;;;;;;x;x
VIET_flora_statue_lustful;Statue of Flora (for Nefarious Purposes);Statue de Flora (à des Fins Répréhensibles);;;;;;;;;;x;x
VIET_flora_statue_lustful_desc;This character recently bought a statue of the goddess Flora to decorate their residence. It is quite beautiful! The craftsmanship looks excellent. It seems this character, however, had baser, debauched reasons for purchasing such a statue of a nude young woman.;Ce personnage a récemment acheté une statue de la déesse Flora pour décorer leur demeure. C'est assez beau ! Le savoir-faire est excellent. Il semble cependant que ce personnage ait eu des raisons plus basses et débauchées d'acheter une telle statue d'une jeune femme nue.;;;;;;;;;;x;x
hellenic.530.desc;The greatest of the ancient Hellenic city states were Athens and Sparta, yet in comparing and contrasting them, one can easily see how they were very different. Today, you've come across two courtiers arguing about which one was better. Seeing you nearby, they ask for your input. Was it the mighty, warrior Spartans who were better? Or the crafty, philosophy-loving Athenians?;Les plus grands des cités helléniques anciennes ont été Athènes et Sparte. Cependant, en les comparant et en les opposant, on peut facilement voir à quel point elles étaient très différents. Aujourd'hui, vous avez rencontré deux courtisans qui se disputaient pour savoir lequel était la meilleure. En vous voyant à proximité, ils vous demandent votre avis. Était-ce les puissants guerriers Spartiates qui étaient meilleurs ? Ou les Athéniens rusés, épris de philosophie ?;;;;;;;;;;x;x
hellenic.535.desc;A local town nearby has unveiled a new statue of Epona, the goddess of horses, donkeys, and fertility. Once a Gallic deity, she was adopted by the Romans as their own and is fast gaining popularity again.;Une ville locale à proximité a dévoilé une nouvelle statue d'Epona, la déesse des chevaux, des ânes et de la fertilité. Autrefois divinité gauloise, elle a été adoptée par les Romains et gagne rapidement en popularité.;;;;;;;;;;x;x
hellenic.535.a;May she protect the locals.;Qu'elle protège les locaux.;;;;;;;;;;;;x
hellenic.536.desc;Your courtier recently broke a oath they made not too long ago. It was a minor oath, of little importance, and yet some in your court cannot help but point out that this courtier will have to answer to Orcus, the god of the Underworld who punishes oath breakers.;Votre courtisan a récemment rompu le serment qu’il a prêté il y a peu de temps. C’était un serment mineur, peu important, et pourtant, certains membres de votre cour ne peuvent s’empêcher de souligner que ce courtisan devra répondre à Orcus, le dieu des enfers qui punit les personnes qui enfreignent les lois.;;;;;;;;;;x;x
hellenic.536.a;At least it wasn't me!;Au moins ce n'était pas moi !;;;;;;;;;;;;x
hellenic.536.b;I should remember not to break oaths myself.;Je devrais me souvenir de ne pas rompre les serments moi-même.;;;;;;;;;;;;x
hellenic.536.c;Silly nonsense. Orcus won’t come down to punish a random mortal.;Bêtises idiotes. Orcus ne viendra pas punir un mortel au hasard.;;;;;;;;;;;;x
hellenic.537.desc;Some say the god of the forge, Vulcan, truly was hideous and ugly. Others say he was actually quite good looking, but only by mortal standards, and thus was ‘ugly’ for a deity. Yet others say through the centuries, confused and foolish people misunderstood the ancients myths, and he is as handsome as any other god.;Certains disent que le dieu de la forge, Vulcain, était vraiment hideux et laid. D’autres disent qu’il était en fait assez beau, mais seulement selon les critères de la condition humaine, et qu’il était donc "laid" pour une divinité. Pourtant, d’autres disent que, au cours des siècles, les personnes confuses et stupides ont mal compris les mythes des anciens, et il est aussi beau que tout autre dieu.;;;;;;;;;;x;x
hellenic.537.a;He is probably ugly, but an Olympian nevertheless.;Il est probablement moche, mais Olympien quand même.;;;;;;;;;;;;x
hellenic.537.b;He is probably good looking for a mortal.;Il est probablement beau vu d'un mortel.;;;;;;;;;;;;x
hellenic.537.c;Who could think of an Olympian being ugly?;Qui pourrait penser qu'un Olympien puisse être laid ?;;;;;;;;;;;;x
hellenic.538.desc;A farmer living nearby has been accused of using various magical charms to reduce his neighbor's crops and increase his own. This is an affront to Ceres, goddess of agriculture, and by ancient custom is to be punishable by death. The accused claims this was all a misunderstanding and that he was merely doing some protective but not harmful charms for his own crops, but further investigation reveals that he is guilty and will be hung for Ceres.;Un agriculteur habitant à proximité a été accusé d'avoir utilisé divers sortilèges magiques pour réduire les récoltes de son voisin et augmenter les siennes. C’est un affront à Cérès, déesse de l’agriculture, qui, selon l’ancienne coutume, est passible de la peine de mort. L'accusé prétend que tout cela était un malentendu et qu'il ne faisait que faire des sortilèges protecteurs mais non nuisibles pour ses propres cultures, mais une enquête plus approfondie révèle qu'il est coupable et qu'il sera pendu pour Cérès.;;;;;;;;;;x;x
hellenic.538.a;Such are the ancient laws.;Telles sont les anciennes lois.;;;;;;;;;;;;x
hellenic.539.desc;One of your courtiers has recently purchased a statue of Flora for their garden. As goddess of flowers, her presence is welcoming in a garden. You and several others pay a visit to your courtier and find the statue most agreeable - it almost seems alive, like as if the statue will start moving at any moment. Your courtier says they can refer you to the sculptor, who charges a decent price.;Un de vos courtisans a récemment acheté une statue de Flora pour son jardin. En tant que déesse des fleurs, sa présence est accueillante dans un jardin. Vous et plusieurs autres rendez visite à votre courtisan et trouvez la statue la plus agréable - elle semble presque vivante, comme si la statue commençait à bouger à tout moment. Votre courtisan dit qu'il peut vous renvoyer au sculpteur, qui demande un prix raisonnable.;;;;;;;;;;x;x
hellenic.539.a;A fine addition to my collection.;Une belle addition à ma collection.;;;;;;;;;;;;x
hellenic.539.b;I shall use the statue as a private altar.;Je vais utiliser la statue comme un autel privé.;;;;;;;;;;;;x
hellenic.539.c;The statue is almost like a real girl! Mine will fuel my imagination....;La statue est presque comme une vraie fille ! La mienne alimentera mon imagination ....;;;;;;;;;;;;x
hellenic.539.d;On second thought, I am not willing to pay that much.;À la réflexion, je ne suis pas disposé à payer autant.;;;;;;;;;;;;x
hellenic.540.desc;One day you are talking with a traveling merchant who has recently come back from a long trip to faraway lands. This merchant said how in other realms, foreigners mock some of our gods as being frivolous. In particular, the merchant remembers an encounter with a particularly rude man who could not understand the concept of Sterquilinus, our god of feces and sewage.;Un jour, vous discutez avec un commerçant qui vient de rentrer d’un long voyage dans des contrées lointaines. Ce marchand a expliqué que dans d’autres royaumes, les étrangers se moquaient de certains de nos dieux comme étant frivoles. Le marchand se souvient en particulier de la rencontre avec un homme particulièrement grossier qui ne comprenait pas le concept de Stercutius, notre dieu des excréments et des eaux usées.;;;;;;;;;;x;x
hellenic.540.a;How ignorant. Even a god of such things is a god!;Comme c'est ignorant ! Même un dieu de telles choses est un dieu !;;;;;;;;;;;;x
hellenic.540.b;It sounds silly, but every deity has their purpose, as we all do.;Cela semble idiot, mais chaque divinité a son but, comme nous tous.;;;;;;;;;;;;x
hellenic.540.c;Manure is an important aspect of agriculture!;Le fumier est un aspect important de l'agriculture !;;;;;;;;;;;;x
hellenic.541.desc;While traveling in the countryside nearby you come across a beautiful, wild fruit tree, full of fresh, ripe fruit. You pick a few of the apples and eat them, and find them most pleasing to your palate. Surely, to come across such a thing today is no coincidence! Perhaps this is a good sign from the goddess Pomona, whose domain is the flowering of fruit trees.;En voyageant dans la campagne voisine, vous tomberez sur un bel arbre fruitier sauvage, plein de fruits frais et mûrs. Vous cueillez quelques pommes, vous les mangez et les trouvez agréables à votre palais. Ce n’est sûrement pas une coïncidence de tomber sur une telle chose aujourd’hui ! C'est peut-être un bon signe de la déesse Pomona, dont le domaine est la floraison des arbres fruitiers.;;;;;;;;;;x;x
hellenic.541.a;Maybe, maybe not. Delicious, nevertheless!;Peut-être, peut-être pas. Délicieux, néanmoins !;;;;;;;;;;;;x
hellenic.541.b;I should thank her with offerings when I get home.;Je devrais la remercier avec des offrandes quand je rentre à la maison.;;;;;;;;;;;;x
hellenic.542.desc;A brief storm recently caused much anxiety. A bolt of lightning struck the statue of Jupiter atop a local temple, and its head was nowhere to be seen afterwards. Diviners however determined it was hurled into a nearby river at so and so spot. Sure enough, it was found right there, and restored to the temple. Some say Jupiter wishes to remind us of our duties and place in life.;Une brève tempête a récemment causé beaucoup d'anxiété. Un éclair a frappé la statue de Jupiter au sommet d'un temple local et sa tête était introuvable par la suite. Les devins ont cependant déterminé qu'elle avait été jetée dans une rivière proche à tel endroit. Effectivement, elle a été retrouvée sur place et replacée dans le temple. Certains disent que Jupiter souhaite nous rappeler nos devoirs et notre place dans la vie.;;;;;;;;;;x;x
hellenic.542.a;I believe that as well.;Je le crois aussi.;;;;;;;;;;;;x
hellenic.542.b;We must be virtuous with or without such reminders.;Nous devons être vertueux avec ou sans ces rappels.;;;;;;;;;;;;x
hellenic.542.c;Who cares?;On s'en fout ?;;;;;;;;;;;;x
hellenic.543.desc;An herb was recently discovered in your realm that is said to be the ‘dog’s tooth,’ which is the same kind of herb that gave the legendary fisherman Glaucus his immortality and turned him into the prophetic sea-god he is today. That notion was easily dispelled, when a local criminal who ate the herb was summarily executed for his crime, but there are those who still fervently believe that even if it doesn’t give immortality, that the herb has many beneficial effects.;Une herbe a récemment été découverte dans votre royaume. On dit qu’elle est la «chien dent», le même genre d’herbes qui a donné son immortalité au légendaire pêcheur Glaucus et en a fait le dieu marin prophétique qu’il est aujourd’hui. Cette idée a été facilement dissipée quand un criminel local qui a mangé l’herbe a été sommairement exécuté, mais certains pensent encore que même si elle ne confère pas l’immortalité, elle a de nombreux effets bénéfiques.;;;;;;;;;;x;x
hellenic.543.a;What fools they are!;Quels imbéciles ils sont !;;;;;;;;;;;;x
hellenic.543.b;Perhaps I could try some myself? Just in case.;Peut-être que je pourrais en essayer moi-même ? Au cas où.;;;;;;;;;;;;x
VIET_glaucus_herb_good_text;The herb has a positive effect on you.;L'herbe a un effet positif sur vous.;;;;;;;;;;;;x
VIET_glaucus_herb_bad_text;The herb has a negative effect on you.;L'herbe a un effet négatif sur vous.;;;;;;;;;;;;x
hellenic.544.desc;Last night I dreamt a beautiful woman dressed in armor visited me, and we had the most insightful discussions on many different topics. She even showed me some valuable scrolls filled with ancient wisdom. Before the dream ended, she said she was in fact the goddess Minerva, and that she found it pertinent to her interests that I learned a few things from her.;Hier soir, j'ai rêvé qu'une belle femme vêtue d'une armure m'ait rendu visite et nous avons eu les discussions les plus perspicaces sur de nombreux sujets différents. Elle m'a même montré des rouleaux précieux remplis d'ancienne sagesse. Avant que le rêve ne se termine, elle a dit qu'elle était en fait la déesse Minerve et qu'elle avait trouvé qu'il était pertinent pour ses intérêts que j'apprenne quelques choses d'elle.;;;;;;;;;;x;x
hellenic.544.a;That was quite a dream! I feel smarter already.;C'était un rêve ! Je me sens déjà plus intelligent.;;;;;;;;;;;;x
hellenic.545.desc;Dignitaries from a local town visited me today, bearing gifts of pomegranates in Pluto and Prosperina’s honor. They said that many generations ago, in the days of the old Roman Empire, they were constantly under threat by a powerful band of bandits. They prayed to all the gods, but only Pluto and Prosperina came to their aid, for some reason. Thus they honor them even now.;Des dignitaires d’une ville de la région m’ont rendu visite aujourd’hui, portant des cadeaux de grenades à Pluton et en l’honneur de Proserpine. Ils ont dit qu'il y a plusieurs générations, à l'époque de l'ancien Empire romain, ils étaient constamment menacés par un puissant groupe de bandits. Ils ont prié tous les dieux, mais seuls Pluton et Proserpine sont venus les aider, pour une raison quelconque. Ainsi, ils les honorent même maintenant.;;;;;;;;;;x;x
hellenic.545.a;An interesting tale! And thank you for the pomegranates.;Une histoire intéressante ! Et merci pour les grenades.;;;;;;;;;;;;x
