#Flavor events;;;;;;;;;;;;;;x
EVTDESC1000109028;While privately discussing the finances  of your realm with one of your Jewish courtiers, the courtier suddenly makes a request. Nervously, he says: “My liege, the Jewish people are suffering greatly this year, being forced to pay the Jizya tax when we are in such an impoverished situation. To alleviate the problems of the Jewry, would it hurt to slightly reduce this tax?”;"Alors que vous discutez en privé des finances de votre royaume avec l'un de vos courtisans juifs, le courtisan fait soudainement une demande. Nerveux, il dit : ""Mon seigneur, le peuple juif souffre énormément cette année, étant forcé de payer l'impôt de Jizya alors que nous sommes dans une situation si pauvre. Pour atténuer les problèmes des Juifs, est-ce que ça ne serait pas bien de réduire légèrement cette taxe ?""";;;;;;;;;;x;;
EVTOPTA1000109028;Very well. I will temporarily reduce taxes.;Très bien. Je vais réduire temporairement les impôts.;;;;;;;;;;x;;
EVTOPTB1000109028;No. Be thankful I don’t treat you like the Christians do.;Non. Sois reconnaissant que je ne te traite pas comme les chrétiens.;;;;;;;;;;x;;
#EVTDESC1000109027;[From.GetFirstName] has told me that [From.GetSheHe] appreciates that I have been very kind to the Jews in my realm, even inviting some like [From.GetHerHim] to be in my court, and that for this reason many Jews here admire and respect me.;[From.GetFirstName] m' a dit qu'[From.GetSheHe] apprécie le fait que j'ai été très gentil avec les Juifs de mon royaume, invitant même certains comme [From.GetHerHim] à être dans ma cour, et que pour cette raison beaucoup de Juifs ici m'admirent et me respectent.;;;;;;;;;;x;;
#EVTOPTA1000109027;May there be peace among the children of God.;Qu'il y ait la paix parmi les enfants de Dieu.;;;;;;;;;;x;;
#EVTOPTB1000109027;Just because I don’t treat you badly doesn’t mean I like you.;Ce n'est pas parce que je ne te traite pas mal que je t'aime bien.;;;;;;;;;;x;;
EVTDESC1000109029;After having a number of Jews in my court for such a long time, I’ve gotten to know them better, and I’ve begun to reconsider my hatred of them. Hath not a Jew eyes? Hath not a Jew hands, organs, dimensions, senses, affections, passions as a Christian has? Perhaps Jews can be good and just people too.;Après avoir eu un certain nombre de Juifs dans ma cour pendant si longtemps, j'ai appris à mieux les connaître et j'ai commencé à reconsidérer ma haine envers eux. N'est-ce pas un regard juif ? N'a-t-on pas des mains, des organes, des dimensions, des sens, des affections, des passions juives comme un chrétien ? Peut-être que les Juifs peuvent être bons et justes aussi.;;;;;;;;;;x;;
EVTOPTA1000109029;No! Such ideas are deceptions by the devil!;Non ! De telles idées sont des tromperies du diable !;;;;;;;;;;x;;
EVTOPTB1000109029;Perhaps I shouldn’t be so hardheaded about these matters...;Peut-être que je ne devrais pas être si intransigeant sur ces questions ...;;;;;;;;;;x;;
EVTOPTC1000109029;We’re all children of God, after all...;Nous sommes tous enfants de Dieu, après tout ...;;;;;;;;;;x;;
EVTOPTD1000109029;As a just ruler, I must treat all subjects equally, based on their merits.;En tant que dirigeant juste, je dois traiter tous les sujets sur un pied d'égalité, en fonction de leurs mérites.;;;;;;;;;;x;;
EVTDESC1000109030;I’ve just received news that one of my distant cousins is fleeing from persecution in another region. I could take my cousin in, but I’m not sure if my liege is willing too... I’ll just have to wait for a good opportunity to ask.;Je viens d'apprendre qu'un de mes cousins éloignés fuit la persécution dans une autre région. Je pourrais faire entrer mon cousin, mais je ne suis pas sûr que mon seigneur le veuille aussi... Je vais devoir attendre une bonne occasion de demander.;;;;;;;;;;x;;
EVTOPTA1000109030;Oy vey...;Oy vey ...;;;;;;;;;;x;;
EVTDESC1000109031;A Jewish courtier, [From.GetFirstName], has recently requested that you allow a distant cousins to take refuge in your court. This cousin is trying to flee persecution from another realm, and currently your realm is the only place this cousin could go to... if you allow him to, that is.;Un courtisan juif, [From.GetFirstName], a récemment demandé que vous autorisiez un cousin éloigné à se réfugier dans votre cour. Ce cousin essaie de fuir la persécution d'un autre royaume, et actuellement votre royaume est le seul endroit où ce cousin pourrait aller... si vous le lui permettez.;;;;;;;;;;x;;
EVTOPTA1000109031;Very well. As long as he doesn’t cause trouble.;Très bien. Tant qu'il ne cause pas d'ennuis.;;;;;;;;;;x;;
EVTOPTB1000109031;I can help provide him a temporary home in the city.;Je peux l'aider à lui trouver un foyer temporaire en ville.;;;;;;;;;;x;;
EVTOPTC1000109031;I already have enough of your kind here!;J'en ai déjà assez de votre espèce !;;;;;;;;;;x;;
EVTDESC1000109032;My liege is currently very sick, but I know a skilled Jewish physician - a family friend, in fact - who lives in my neighborhood. Perhaps I can recommend him to my liege.;Mon seigneur est actuellement très malade, mais je connais un médecin juif compétent - un ami de la famille, en fait - qui vit dans mon quartier. Je peux peut-être le recommander à mon seigneur.;;;;;;;;;;x;;
EVTOPTA1000109032;Hopefully my liege will be accept a Jewish physician.;J'espère que mon seigneur acceptera un médecin juif.;;;;;;;;;;x;;
EVTDESC1000109033;Your illness continues to worsen. However, [From.GetFirstName] tells you of a skilled Jewish physician he knows very well (apparently this man is a family friend). This physician could, hopefully, claims your courtier, heal you of your illness.;Votre maladie continue de s'aggraver. Cependant, [From.GetFirstName]  vous parle d'un médecin juif compétent qu'il connaît très bien (apparemment, cet homme est un ami de la famille). Votre courtisan, espérons-le, prétend que le médecin pourrait vous guérir de votre maladie.;;;;;;;;;;x;;
EVTOPTA1000109033;Thank you for telling me this. Summon this physician!;Merci de me l'avoir dit. Appelez ce médecin !;;;;;;;;;;x;;
EVTOPTB1000109033;No! I don’t want that sort of man near me!;Non ! Je ne veux pas de ce genre d'homme près de moi !;;;;;;;;;;x;;
EVTDESC1000109034;Apparently, the Jewish physician is just as skilled as your courtier said. Your illness has completely gone away, and you feel even stronger than you were before your illness started. This must be a miracle of sorts!;Apparemment, le médecin juif est aussi compétent que votre courtisan l'a dit. Votre maladie a complètement disparu et vous vous sentez encore plus fort qu'avant le début de votre maladie. Ce doit être une sorte de miracle !;;;;;;;;;;x;;
EVTOPTA1000109034;Thank [Root.Religion.GetRandomGodName] for the physician! Here’s his payment.;Remercions [Root.Religion.GetRandomGodName] pour ce médecin ! Voilà son paiement.;;;;;;;;;;x;;
EVTOPTB1000109034;Please give the physician this gift along with payment.;S'il vous plaît, donner au médecin ce cadeau avec le paiement.;;;;;;;;;;x;;
EVTOPTC1000109034;Request the physician that he stay in my court.;Demandez au médecin de rester dans ma cour.;;;;;;;;;;x;;
EVTDESC1000109035;The Jewish physician tries hardest to cure your illness, but it seems nothing he does seem to help. Still, you do feel a little better than you did before, at the least.;Le médecin juif fait de son mieux pour guérir votre maladie, mais il semblerait que rien ne l'aider. Vous vous sentez quand même un peu mieux qu'avant, au moins.;;;;;;;;;;x;;
EVTOPTA1000109035;Oh well. Thank you, nevertheless, my good man.;Oh, eh bien. Merci quand même, mon brave homme.;;;;;;;;;;x;;
EVTOPTB1000109035;Fool! Get out! I knew I should have never trusted you!;Imbécile ! Sors de là ! Je savais que je n'aurais jamais dû vous faire confiance !;;;;;;;;;;x;;
EVTOPTC1000109035;Imprison and torture the man! He must be trying to kill me!;Emprisonnez et torturez l'homme ! Il a essayé de me tuer !;;;;;;;;;;x;;
EVTDESC1000109037;One of my Jewish courtiers has just returned from the funeral of a family friend. Perhaps I should offer my condolences.;Un de mes courtisans juifs vient de rentrer des funérailles d'un ami de la famille. Je devrais peut-être lui offrir mes condoléances.;;;;;;;;;;x;;
EVTOPTA1000109037;I am sorry for your loss.;Toutes mes condoléances.;;;;;;;;;;x;;
EVTOPTB1000109037;You should think about converting now, before it’s too late!;Vous devriez penser à vous convertir maintenant, avant qu'il ne soit trop tard !;;;;;;;;;;x;;
EVTOPTC1000109037;You should have no more tza’ar and only have simchas.;Vous ne devriez plus avoir de tza'ar et seulement des simchas.;;;;;;;;;;x;;
