#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
LI_son_merc_company_dec;Send [Root.GetTitledFirstName] to train with a Mercenary Company;;;;;;;;;;;;;x
LI_son_merc_company_dec_desc;Send your son to train with a Mercenary company for some years and hope they return as a hardened soldier.;;;;;;;;;;;;;x
EVTDESCli_sonevents1;You have decided to send your son to a Mercenary company to train.;;;;;;;;;;;;;x
EVTOPTAli_sonevents1;On second thoughts no, he shall remain with me.;;;;;;;;;;;;;x
LI_son_academy_dec;Send [Root.GetTitledFirstName] to study at the Neoplatonic Akademia;;;;;;;;;;;;;x
LI_son_academy_dec_desc;Send your son to study at the Neoplatonic Akademia for some years and hope they return as an enlightened scholar.;;;;;;;;;;;;;x
EVTDESCli_sonevents3;You have decided to send your son to the Neoplatonic Akademia to study.;;;;;;;;;;;;;x
hold_pagan_festival;Hold a festival to honour [Root.Religion.GetRandomGodName];Organiser le festival de l'Uzgavenes;Uzgavenes Fest veranstalten;;Celebrar el Festival Uzgavenes;;;;;;;;;x
EVTDESC_TOGLI_756;As offerings and sacrifices continue to be placed on the altar outside, surely pleasing [Root.Religion.GetRandomGodName], you gather together with your liege and the rest of [From.GetHerHis] vassals for the great feast [From.GetSheHe] has had prepared!;Alors que l'effigie de l'hiver se consume à l'extérieur, pressant l'arrivée de l'été, votre seigneur, le reste de ses vassaux et vous êtes réunis pour savourer le grand banquet préparé par ses serviteurs.;Während das Winterabbild draußen verbrennt und dadurch das Kommen des Sommers beschleunigt, versammelt Ihr Euch mit Eurem Lehnsherr und anderen [From.GetHerHis] Vasallen zum großen Festmahl, das [From.GetSheHe] vorbereitet hat!;;¡Mientras la efigie del invierno continúa ardiendo fuera, acelerando la llegada del verano, tú te reúnes con tu señor y el resto de [From.GetHerHis] vasallos para la gran fiesta que [From.GetSheHe] ha preparado!;;;;;;;;;x
EVTDESC_TOGLI_757;The offerings and sacrifices have been given, [Root.Religion.GetRandomEvilGodName] has been defeated, and the feast has come to an end. Your vassals are returning home, but most seem to agree that the festival to honour [Root.Religion.GetRandomGodName] was well worth the trip.;L'effigie a fini de se consumer, l'esprit de Lašininis a été défait et le banquet tire à sa fin. Vos vassaux reprennent le chemin du retour et la plupart s'accordent pour dire que le festival de l'Uzgavenes en valait le déplacement;Das Bildnis ist niedergebrannt, der Geist von Lašininis wurde besiegt und das Fest ist zu Ende. Eure Vasallen kehren nach Hause zurück, doch die meisten sind der Ansicht, dass das Uzgavenes Fest die Reise wert war. ;;Se ha quemado la efigie, el espíritu de Lašininis ha sido derrotado, y la fiesta ha llegado a su fin. Tus vasallos están regresando a casa, pero la mayoría parecen estar de acuerdo con que el festival Uzgavenes valió la pena.;;;;;;;;;x
EVTDESC_TOGLI_758;The offerings and sacrifices have been given, [Root.Religion.GetRandomEvilGodName] has been defeated, and the feast has come to an end. You and the other vassals are returning home, but you all agree that the festival to honour [Root.Religion.GetRandomGodName] was well worth the trip.;L'effigie a fini de se consumer, l'esprit de Lašininis a été défait et le banquet tire à sa fin. Les autres vassaux et vous reprenez le chemin du retour et vous vous accordez tous pour dire que le festival de l'Uzgavenes en valait le déplacement;Das Bildnis ist niedergebrannt, der Geist von Lašininis wurde besiegt und das Fest ist zu Ende. Du und die anderen Vasallen kehren nach Hause zurück, doch alle sind der Ansicht, dass das Uzgavenes Fest die Reise wert war. ;;Se ha quemado la efigie, el espíritu de Lašininis ha sido derrotado, y la fiesta ha llegado a su fin. Tú y los otros vasallos estÃ¡is regresando a casa, pero todos estÃ¡is de acuerdo con que el festival Uzgavenes valiÃ³ la pena.;;;;;;;;;x
held_pagan_feast_timer;Held Religious Festival;;;;;;;;;;;;;x
opinion_refused_pagan_festival;Refused to attend Religious Festival;Refus de participer au festival de l'Uzgavenes;hat sich geweigert, Uzgavenes zu besuchen;;Se negÃ³ a asistir a Uzgavenes;;;;;;;;;x
opinion_pagan_festival;Held Religious Festival;Festival d'Uzgavenes tenu;Hat Uzgavenes veranstaltet;;Uzgavenes Realizado;;;;;;;;;x
pagan_festival_begins;All praise [Root.Religion.GetRandomGodName]!;Le printemps viendra cette année, semble-t-il.;Wie es aussieht, wird es dieses Jahr einen Frühling geben.;;Parece que la primavera vendrá este año.;;;;;;;;;x
EVTTITLEluxchosen.1;Chosen by [Root.Religion.GetRandomGodNameCap];;;;;;;;;;;;;x;
EVTDESCluxchosen.1;In the ancient prophecies of the [Root.Religion.GetName] faith, it is written that a hero, the champion of [Root.Religion.GetRandomGodName], will be chosen from amongst his servants to start the end of times. This Chosen One will end the conflicts that plague the world and bring about the new [Root.Religion.GetName] order. Recently, a figure of such characteristics has risen in [From.PrimaryTitle.GetName], [From.GetTitledFirstName] [From.GetOnlyDynastyName], the chosen one of [Root.Religion.GetRandomGodNameCap]!;;;;;;;;;;;;;x;
EVTOPTAluxchosen.1;I will bring the in a new world in the name of [From.Religion.GetRandomGodNameCap];;;;;;;;;;;;;x;
EVTOPTBluxchosen.1;All hail [From.GetTitledFirstName], chosen of [Root.Religion.GetRandomGodNameCap]!;;;;;;;;;;;;;x;
EVTOPTCluxchosen.1;The only thing [From.GetSheHe] will bring is chaos and death;;;;;;;;;;;;;x;
chosen_messianic;Chosen One;;;;;;;;;;;;;x;
chosen_messianic_desc;This character is purported to be the chosen one of his or her messianic faith.;;;;;;;;;;;;;x;
EVTDESCbattle_charges.0;Armors were hacked while wind blew and howled: piles of corpses, piles of bodies, and a river of blood flowed! It is there!! It is time to charge!!;;;;;;;;;;;;;x
EVTOPTAbattle_charges.0;Not now! Fall back!;;;;;;;;;;;;;x
EVTOPTBbattle_charges.0;The stronger they are, the harder they fall!;;;;;;;;;;;;;x
EVTDESCbattle_charges.1;The love of arms and the mad wickedness of war are raging: the battle inflame itself with multiple charges from every flank, orders are shouted and swords clash into armors and skulls alike. My men look at me with the bloody eyes of soldiers, asking me for an order that could sort the battle in our favor.;;;;;;;;;;;;;x
EVTOPTAbattle_charges.1;He who flies at the right time can fight again..;;;;;;;;;;;;;x
EVTOPTBbattle_charges.1;Charge!!;;;;;;;;;;;;;x
EVTDESCbattle_charges.2;And many strokes, though with a little axe, hew down and fell the hardest-timbered oak: The battle is not lost yet, we still have a chance to win it with a blunt manouvre that could turn its destiny on our side!;;;;;;;;;;;;;x
EVTOPTAbattle_charges.2;A victory is twice itself when the achiever brings home full numbers.;;;;;;;;;;;;;x
EVTOPTBbattle_charges.2;Audaces fortuna iuvat!;;;;;;;;;;;;;x
EVTDESCbattle_charges.3;As they charged through an open field towards the enemy lines, the enemy archers began to fire and plow and gather into the garner of death, as brave, and good, and pure spirits as the world ever saw. The twilight of evening had begun to gather as a precursor of the midnight darkness that was to envelop an epic clash..;;;;;;;;;;;;;x
EVTOPTAbattle_charges.3;Fall back!;;;;;;;;;;;;;x
EVTOPTBbattle_charges.3;Glory! Which gilds our sepulchre and embalms our name!;;;;;;;;;;;;;x
EVTDESCbattle_charges.4;The general lifts the horn up to his mouth, then sets his lips and blows it with great force. The hills are high, the horn's voice loud and long. They hear it echoing full thirty leagues. The enemy and his companions hear it sound: Our men are in a battle!;;;;;;;;;;;;;x
EVTOPTAbattle_charges.4;I better stay behind the lines..;;;;;;;;;;;;;x
EVTOPTBbattle_charges.4;To me my men! ;;;;;;;;;;;;;x
EVTDESCbattle_charges.5;Watching from the the woods the Wallace and the Moray, as the English came with the Earl o' Surrey, ain by ain they crossed, oh the bridge was rumbling. As they onward came, O'er the Brig o' Stirling. The Wallace gave a shout, out his men came running, stubbed the English host, at the Brig o' Stirling, Cressingham turned round, the bridge was small and turning, Moray cut him down, On the Brig o' Stirling.;;;;;;;;;;;;;x
EVTOPTAbattle_charges.5;This battle is lost!;;;;;;;;;;;;;x
EVTOPTBbattle_charges.5;The valiant never taste of death but once!;;;;;;;;;;;;;x
EVTDESCbattle_charges.6;As I cam on, an farther on, an doun an by Harlaw, they fell fu close on ilka side, sic fun ye never saw. They fell fu close on ilka side, sic fun ye never saw. For Hielan swords gied clash for clash, at the battle o' Harlaw. The Hielanmen, wi their lang swords, they laid on us fu sair, an they drave back our merry men, three acres breadth an mair.;;;;;;;;;;;;;x
EVTOPTAbattle_charges.6;Oh no, oh no, my brither dear, that thing maun never be!;;;;;;;;;;;;;x
EVTOPTBbattle_charges.6;Tak ye your good sword in your hand, An come your wa's wi me!;;;;;;;;;;;;;x
EVTDESCbattle_charges.16;After the enemy charge the clang of the bows and the shouts of the combatants mixed fearfully with the sound of the trumpets, and drowned the groans of the many good men who fell, and lay rolling defenceless beneath the feet of the horses. The splendid armour our knights is now defaced with dust and blood, and gives way at every stroke of the sword and battle-axe.. ;;;;;;;;;;;;;x
EVTOPTAbattle_charges.16;We are broken!;;;;;;;;;;;;;x
EVTOPTBbattle_charges.16;Charge, men, charge!;;;;;;;;;;;;;x
EVTDESCbattle_charges.17;Any coward can fight a battle when he's sure of winning, but give me the man who has pluck to fight when he's sure of losing. That's my way, sir. And there are many victories worse than a defeat.;;;;;;;;;;;;;x
EVTOPTAbattle_charges.17;Retreat!;;;;;;;;;;;;;x
EVTOPTBbattle_charges.17;To Victory!;;;;;;;;;;;;;x
EVTDESCbattle_charges.18;Hark! I hear the tramp of thousands, and of armed men the hum Lo! A nation's hosts have gathered Round the quick alarming drum saying: Come, Freemen, Come! Ere your heritage be wasted, said the quick alarming drum. The enemy charges!;;;;;;;;;;;;;x
EVTOPTAbattle_charges.18;Men, fall back!;;;;;;;;;;;;;x
EVTOPTBbattle_charges.18;They shall not pass!;;;;;;;;;;;;;x
EVTDESCbattle_charges.19;In peace, there's nothing so becomes a man as modest stillness and humility, but when the blast of war blows in our ears, then imitate the action of the tiger: stiffen the sinews, summon up the blood, disguise fair nature with hard-favour'd rage.;;;;;;;;;;;;;x
EVTOPTAbattle_charges.19;Stand Still!;;;;;;;;;;;;;x
EVTOPTBbattle_charges.19;Up Guards and at 'em!;;;;;;;;;;;;;x
TOOLTIPBATTLECHARGE;Victory is not ours yet. Charge at the enemy with full strength, may it lead us to glory, or to a glorious death. Shame for the ones who break, honour to the brave!;;;;;;;;;;;;;x
TOOLTIPBATTLERETREAT;Retreat! Order the men to fall back, as it's not time to win or lose this battle just yet. Although many commanders will see this choice as craven, I know better..;;;;;;;;;;;;;x
TOOLTIPBATTLEFIGHTBACK;The enemy charges, but victory isn't lost yet. Hold on and counter-attack with what strength we have left: may it lead us to glory in victory, or to a glorious death in battle!;;;;;;;;;;;;;x
AND_SO_I_DIE;And so I die.;;;;;;;;;;;;;x
