#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
###NEW GOVERNMENTS###;;;;;;;;;;;;;;x
absolutist_government;Absolutist;;;;;;;;;;;;;x;
absolutist_government_desc;An Absolutist government is a monarchical form of government for realms following a religion of Statist soul, in which the monarch uses the spiritual system to claim absolute power among his or her people. This form of government requires the ruler to have exceptionally strong political authority, diplomacy and intrigue skills to dominate the State apparatus in order to impose an elaborate ideology on the realm, a set of ideas that gives meaning and direction to the whole society. The absolut monarch can revoke vassal titles arbitrarily. The omniscient state forces high requirements on vassals in terms of tax and levy. It helps the monarch to uncover hostile plots. This may prove vital, as vassals who cannot express discontent too openly may seek other ways to advance their agendas…\n\nGoing back to §YBalanced State Control§! in the §YState's Power§! law will terminate the §YAbsolutist Government§! and revert it back to the default form of government.;;;;;;;;;;;;;x;
hegemonic_government;Hegemonic;;;;;;;;;;;;;x;
hegemonic_government_desc;A Hegemonic government is a monarchical form of government for realms following a religion of Scholarly soul. The monarch dominates all forms of expression, strictly controls knowledge and imposes the one Truth. This form of government requires the ruler to have exceptionally strong political authority, erudition and piety to dominate theological and intellectual debates and impose an elaborate ideology on the realm, a set of ideas that gives meaning and direction to the whole society. The hegemonic ruler can revoke vassal titles arbitrarily. The hegemonic state forces high requirements on religious vassals in terms of tax and levy, and may set up new religious holdings based on sheer authority.\n\n§Y*§! Not tolerated in §Rinfidel§! provinces.\n§Y*§! Troops get §G+0.5§! morale when fighting in home territory.\n\nGoing back to §YOpen Expression§! in the §YKnowledge Control§! law will terminate the §YHegemonic Government§! and revert it back to the default form of government.;;;;;;;;;;;;;x;
messianic_government;Messianic;;;;;;;;;;;;;x;
messianic_government_desc;In a Messianic government, the ruler uses exceptional authority and spiritual aura to play with the masses' souls and minds. This allows channeling the believers's fears of annihilation and urge to cleanse the world from its flaws into an effective cult of personality, imposing a very strict control over vassals and forcing them to comply with the strictest requirements. As a result, the ruler yields immense power, but this form of government is tied to the current ruler and requires maintaining constantly a very high level of personal authority. \n\n§Y*§! Not tolerated in §Rinfidel§! provinces.\n§Y*§! Free levies in offensive wars.;;;;;;;;;;;;;x;
###NEW GOVERNMENTS' FLAVOUR NAMES###;;;;;;;;;;;;;;x
gov_classical;Classical [PrimaryTitle.GetTier];;;;;;;;;;;;;x;
gov_oriental_monarchy;Oriental [PrimaryTitle.GetTier];;;;;;;;;;;;;x;
gov_anarchist;Anarchic Rule;;;;;;;;;;;;;x;
gov_demagogic;Demagogic [PrimaryTitle.GetTier];;;;;;;;;;;;;x;
gov_mystic;Mystic [PrimaryTitle.GetTier];;;;;;;;;;;;;x;
gov_absolutist;Absolutist [PrimaryTitle.GetTier];;;;;;;;;;;;;x;
gov_hegemonic;Hegemonic [PrimaryTitle.GetTier];;;;;;;;;;;;;x;
gov_messianic;Messianic [PrimaryTitle.GetTier];;;;;;;;;;;;;x;


