#Modifiers;;;;;;;;;;;;;;x
CHARVIEW_TRAITS;Traits:;Traits:;Zuge:;Rasgos:;;;;;;;;;x
efficiency_county_desc;Managing a smaller number of provinces means more attention could be devoted to getting the most of it;;;;;;;;;;;;;x
overextend_county_A;Overextension of Local Control;;;;;;;;;;;;;x
overextend_county_A_desc;Personal control of a large number of provinces is taking its toll on the capacity to administer them directly, and establishing a provincial administration with local vassals would simplify matters.;;;;;;;;;;;;;x
overextend_county_B;Local Administrative Overcapacity;;;;;;;;;;;;;x
overextend_county_B_desc;Personal control of a vast number of provinces has overwhelmed the court's capacity to administer them, and establishing a provincial administration with local vassals is of paramount importance.;;;;;;;;;;;;;x
overextend_duchy_A;Overextended Provincial Administration;;;;;;;;;;;;;x
overextend_duchy_A_desc;The provincial level of administration of the realm is proving insufficient in administering the amount of holdings in the realm. Establishing a kingdom with provincial vassals will simplify matters.;;;;;;;;;;;;;x
overextend_duchy_B;Crippled Provincial Administration;;;;;;;;;;;;;x
overextend_duchy_B_desc;The provincial level of administration of the realm is no longer capable of keeping up with the sheer amount of holdings in the realm. Establishing a kingdom with provincial vassals is now an urgent concern.;;;;;;;;;;;;;x
overextend_kingdom_A;Stressed Kingdom Administration;;;;;;;;;;;;;x
overextend_kingdom_A_desc; The administrative capacity of your kingdoms is showing difficulty in managing the sheer amount of land of the realm. Establishing an imperial administration and potentially vassal kingdoms will simplify matters.;;;;;;;;;;;;;x
overextend_kingdom_B;Overextended Kingdom Administration;;;;;;;;;;;;;x
overextend_kingdom_B_desc;The administrative capacity of your kingdoms is now at its limit, proving insufficient in administering the amount of holdings in the realm. Establishing an imperial administration and potentially vassal kingdoms is now an urgent concern.;;;;;;;;;;;;;x
vestigial_empire;Vestigial Empire;;;;;;;;;;;;;x
vestigial_empire_desc;Nothing is more worth looking down on than an emperor with nothing but barely a few provinces under his rule - a shadow of its former glory. If the empire is to be respected, it must prove itself worthy and regain its de jure territory once again.;;;;;;;;;;;;;x
prestigious_empire;Prestigious Empire;;;;;;;;;;;;;x
prestigious_empire_desc;The glory of our empire earns the respect of vassals, subjects, and foreigners alike. Our men fight harder, vassals obey our authority more, and people respect us more.;;;;;;;;;;;;;x
realm_of_man;Realm of Man;;;;;;;;;;;;;x
realm_of_man_desc;Our empire has proven itself well into the position of reuniting the Realm of Man anew, like the Old Empire has. The sheer glory of it makes our soldiers unstoppable in the field, vassals ever more obedient, and people more bending.;;;;;;;;;;;;;x
logistics_A1;Centralized Logistics;;;;;;;;;;;;;x
logistics_A1_desc;One of the benefits of a small realm is that host of the realm can be gathered and utilized more efficiently.;;;;;;;;;;;;;x
logistics_A2;Localized Logistics;;;;;;;;;;;;;x
logistics_A2_desc;One of the benefits of a relatively small realm is that host of the realm can be gathered more efficiently.;;;;;;;;;;;;;x
logistics_B;Expanded Logistics;;;;;;;;;;;;;x
logistics_B_desc;As the size of the realm increases, so too are the challenges in fielding men, with the maximum strength of the realm being increasingly difficult to field.;;;;;;;;;;;;;x
logistics_C;Imperial Logistics;;;;;;;;;;;;;x
logistics_C_desc;The price of a sprawling empire is that the resources of the realm cannot be effectively brought to bear, resulting to inefficiencies in fielding and leading the manpower of the realm.;;;;;;;;;;;;;x
logistics_D;The Price of Power;;;;;;;;;;;;;x
logistics_D_desc;As the might of the whole increases, the strength of the individual decreases. The sheer ocean of men means that each drop is less and less relevant, and this results to wielding men of less quality and quantity than the Realm of Man could provide.;;;;;;;;;;;;;x
administration_A0;Direct Administration;;;;;;;;;;;;;x
administration_A0_desc;A small realm that can be directly administered by the ruler himself can be managed more efficiently, leading to a more effective host, better collection of tax, as well as capacity to solve problems that could lead to revolt before they happen.;;;;;;;;;;;;;x
administration_A1;Centralized Administration;;;;;;;;;;;;;x
administration_A1_desc;One of the benefits of a small realm is that host of the realm can be gathered and utilized more efficiently, as well as tax collected more effectively from vassals, in addition to more easily managing revolt risk.;;;;;;;;;;;;;x
administration_A2;Localized Administration;;;;;;;;;;;;;x
administration_A2_desc;One of the benefits of a relatively small realm is that host of the realm can be gathered and tax collected more efficiently, as well as managing revolt risk.;;;;;;;;;;;;;x
administration_B0;Realm Duress: Expanded Administration;;;;;;;;;;;;;x
administration_B0_desc;As the size of the realm increases, so too are the challenges in fielding men, with the maximum strength of the realm being increasingly difficult to field as well as taxation on vassals being increasingly harder to administer.;;;;;;;;;;;;;x
administration_B1;Realm Duress: Expanded Administration;;;;;;;;;;;;;x
administration_B1_desc;As the size of the realm increases, so too are the challenges in fielding men, with the maximum strength of the realm being increasingly difficult to field as well as taxation on vassals being increasingly harder to administer.;;;;;;;;;;;;;x
administration_B2;Realm Duress: Expanded Administration;;;;;;;;;;;;;x
administration_B2_desc;As the size of the realm increases, so too are the challenges in fielding men, with the maximum strength of the realm being increasingly difficult to field as well as taxation on vassals being increasingly harder to administer.;;;;;;;;;;;;;x
administration_B3;Realm Duress: Expanded Administration;;;;;;;;;;;;;x
administration_B3_desc;As the size of the realm increases, so too are the challenges in fielding men, with the maximum strength of the realm being increasingly difficult to field as well as taxation on vassals being increasingly harder to administer.;;;;;;;;;;;;;x
administration_B4;Realm Duress: Expanded Administration;;;;;;;;;;;;;x
administration_B4_desc;As the size of the realm increases, so too are the challenges in fielding men, with the maximum strength of the realm being increasingly difficult to field as well as taxation on vassals being increasingly harder to administer.;;;;;;;;;;;;;x
administration_B5;Realm Duress: Expanded Administration;;;;;;;;;;;;;x
administration_B5_desc;As the size of the realm increases, so too are the challenges in fielding men, with the maximum strength of the realm being increasingly difficult to field as well as taxation on vassals being increasingly harder to administer.;;;;;;;;;;;;;x
administration_B6;Realm Duress: Expanded Administration;;;;;;;;;;;;;x
administration_B6_desc;As the size of the realm increases, so too are the challenges in fielding men, with the maximum strength of the realm being increasingly difficult to field as well as taxation on vassals being increasingly harder to administer.;;;;;;;;;;;;;x
administration_B7;Realm Duress: Expanded Administration;;;;;;;;;;;;;x
administration_B7_desc;As the size of the realm increases, so too are the challenges in fielding men, with the maximum strength of the realm being increasingly difficult to field as well as taxation on vassals being increasingly harder to administer.;;;;;;;;;;;;;x
administration_C0;Realm Duress: Imperial Administration;;;;;;;;;;;;;x
administration_C0_desc;The price of a sprawling empire is that the resources of the realm cannot be effectively brought to bear, resulting to inefficiencies in fielding and leading the manpower of the realm and vassal taxes more and more difficult to effectively collect.;;;;;;;;;;;;;x
administration_C1;Realm Duress: Imperial Administration;;;;;;;;;;;;;x
administration_C1_desc;The price of a sprawling empire is that the resources of the realm cannot be effectively brought to bear, resulting to inefficiencies in fielding and leading the manpower of the realm and vassal taxes more and more difficult to effectively collect.;;;;;;;;;;;;;x
administration_C2;Realm Duress: Imperial Administration;;;;;;;;;;;;;x
administration_C2_desc;The price of a sprawling empire is that the resources of the realm cannot be effectively brought to bear, resulting to inefficiencies in fielding and leading the manpower of the realm and vassal taxes more and more difficult to effectively collect.;;;;;;;;;;;;;x
administration_C3;Realm Duress: Imperial Administration;;;;;;;;;;;;;x
administration_C3_desc;The price of a sprawling empire is that the resources of the realm cannot be effectively brought to bear, resulting to inefficiencies in fielding and leading the manpower of the realm and vassal taxes more and more difficult to effectively collect.;;;;;;;;;;;;;x
administration_C4;Realm Duress: Imperial Administration;;;;;;;;;;;;;x
administration_C4_desc;The price of a sprawling empire is that the resources of the realm cannot be effectively brought to bear, resulting to inefficiencies in fielding and leading the manpower of the realm and vassal taxes more and more difficult to effectively collect.;;;;;;;;;;;;;x
administration_C5;Realm Duress: Imperial Administration;;;;;;;;;;;;;x
administration_C5_desc;The price of a sprawling empire is that the resources of the realm cannot be effectively brought to bear, resulting to inefficiencies in fielding and leading the manpower of the realm and vassal taxes more and more difficult to effectively collect.;;;;;;;;;;;;;x
administration_C6;Realm Duress: Imperial Administration;;;;;;;;;;;;;x
administration_C6_desc;The price of a sprawling empire is that the resources of the realm cannot be effectively brought to bear, resulting to inefficiencies in fielding and leading the manpower of the realm and vassal taxes more and more difficult to effectively collect.;;;;;;;;;;;;;x
administration_C7;Realm Duress: Imperial Administration;;;;;;;;;;;;;x
administration_C7_desc;The price of a sprawling empire is that the resources of the realm cannot be effectively brought to bear, resulting to inefficiencies in fielding and leading the manpower of the realm and vassal taxes more and more difficult to effectively collect.;;;;;;;;;;;;;x
administration_C8;Realm Duress: Imperial Administration;;;;;;;;;;;;;x
administration_C8_desc;The price of a sprawling empire is that the resources of the realm cannot be effectively brought to bear, resulting to inefficiencies in fielding and leading the manpower of the realm and vassal taxes more and more difficult to effectively collect.;;;;;;;;;;;;;x
administration_C9;Realm Duress: Imperial Administration;;;;;;;;;;;;;x
administration_C9_desc;The price of a sprawling empire is that the resources of the realm cannot be effectively brought to bear, resulting to inefficiencies in fielding and leading the manpower of the realm and vassal taxes more and more difficult to effectively collect.;;;;;;;;;;;;;x
administration_C10;Realm Duress: Imperial Administration;;;;;;;;;;;;;x
administration_C10_desc;The price of a sprawling empire is that the resources of the realm cannot be effectively brought to bear, resulting to inefficiencies in fielding and leading the manpower of the realm and vassal taxes more and more difficult to effectively collect.;;;;;;;;;;;;;x
administration_C11;Realm Duress: Imperial Administration;;;;;;;;;;;;;x
administration_C11_desc;The price of a sprawling empire is that the resources of the realm cannot be effectively brought to bear, resulting to inefficiencies in fielding and leading the manpower of the realm and vassal taxes more and more difficult to effectively collect.;;;;;;;;;;;;;x
administration_C12;Realm Duress: Imperial Administration;;;;;;;;;;;;;x
administration_C12_desc;The price of a sprawling empire is that the resources of the realm cannot be effectively brought to bear, resulting to inefficiencies in fielding and leading the manpower of the realm and vassal taxes more and more difficult to effectively collect.;;;;;;;;;;;;;x
administration_C13;Realm Duress: Imperial Administration;;;;;;;;;;;;;x
administration_C13_desc;The price of a sprawling empire is that the resources of the realm cannot be effectively brought to bear, resulting to inefficiencies in fielding and leading the manpower of the realm and vassal taxes more and more difficult to effectively collect.;;;;;;;;;;;;;x
administration_C14;Realm Duress: Imperial Administration;;;;;;;;;;;;;x
administration_C14_desc;The price of a sprawling empire is that the resources of the realm cannot be effectively brought to bear, resulting to inefficiencies in fielding and leading the manpower of the realm and vassal taxes more and more difficult to effectively collect.;;;;;;;;;;;;;x
administration_D;Realm Duress: The Price of Power;;;;;;;;;;;;;x
administration_D_desc;As the might of the whole increases, the strength of the individual decreases. The sheer ocean of men means that each drop is less and less relevant, and this results to wielding men of less quality and quantity than the Realm of Man could provide. The sheer number of vassals also mean that less and less tax is remitted to the highest suzerain.;;;;;;;;;;;;;x
admin_holyorder;Holy Order Administration;;;;;;;;;;;;;x
admin_holyorder_desc;This realm has been founded with the valor and zeal of the previous Grandmaster of our Order, and only with the same fervor can it be held.;;;;;;;;;;;;;x
admin_mercenary;Mercenary Company Administration;;;;;;;;;;;;;x
admin_mercenary_desc;This realm has been founded with the ambitiousness and cunning of the previous Captains of our Company, and only with the same dedication can it be held.;;;;;;;;;;;;;x
#CB's;;;;;;;;;;;;;;x
CB_NAME_SANCTIONED_INVASION;Sanctioned Invasion of [Title.GetBaseName];;;;;;;;;x
WAR_NAME_SANCTIONED_INVASION;$ORDER$$FIRST_ADJ$ Sanctioned Invasion of $OTHER_TITLE$;;;;;;;;;x
CB_NAME_GRAND_INVASION;Grand Invasion of [Title.GetBaseName];;;;;;;;;x
WAR_NAME_GRAND_INVASION;$ORDER$$FIRST_ADJ$ Invasion of $OTHER_TITLE$;;;;;;;;;x
CB_NAME_GLORIOUS_CONQUEST;Glorious Conquest of [Title.GetBaseName];;;;;;;;;x
WAR_NAME_GLORIOUS_CONQUEST;$ORDER$$FIRST_ADJ$ Conquest of $OTHER_TITLE$;;;;;;;;;x
CB_NAME_REL_SUBJUGATION;Religious Subjugation of [Title.GetBaseName];;;;;;;;;x
WAR_NAME_REL_SUBJUGATION;$ORDER$$FIRST_ADJ$ Religious Subjugation of $OTHER_TITLE$;;;;;;;;;x
CB_NAME_PAG_CONQUEST;Tribal Conquest of [Title.GetBaseName];;;;;;;;;x
WAR_NAME_PAG_CONQUEST;$ORDER$$FIRST_ADJ$ Tribal Conquest of $OTHER_TITLE$;;;;;;;;;x
CB_NAME_TOTALWAR;Total War for [Title.GetBaseName];;;;;;;;;;;;;x
WAR_NAME_TOTALWAR;$ORDER$$FIRST_ADJ$ Total War for $OTHER_TITLE$;;;;;;;;;;;;;x
CB_NAME_COUNTY_CONQUESTMIL;Expansion War for [Title.GetBaseName];;;;;;;;;;;;;x
WAR_NAME_COUNTY_CONQUESTMIL;$ORDER$$FIRST_ADJ$ Expansion War for $OTHER_TITLE$;;;;;;;;;;;;;x
CB_NAME_VANQUISH;Vanquishment War for [Title.GetBaseName];;;;;;;;;;;;;x
WAR_NAME_VANQUISH;$ORDER$$FIRST_ADJ$ War of Vanquishment for $OTHER_TITLE$;;;;;;;;;;;;;x
CB_NAME_COUNTY_CONQUEST_MARTIAL;Holy Conquest War for [Title.GetBaseName];;;;;;;;;;;;;x
WAR_NAME_COUNTY_CONQUEST_MARTIAL;War of Holy Conquest for $OTHER_TITLE$;;;;;;;;;;;;;x
CB_NAME_COUNTY_CONQUEST_CLERICAL;Sacred Conquest War for [Title.GetBaseName];;;;;;;;;;;;;x
WAR_NAME_COUNTY_CONQUEST_CLERICAL;War of Sacred Conquest for $OTHER_TITLE$;;;;;;;;;;;;;x
CB_NAME_PAGAN_SUBJUGATION;Tribal Subjugation of [Title.GetBaseName];;;;;;;;;x
WAR_NAME_PAGAN_SUBJUGATION;War of Tribal Subjugation for $OTHER_TITLE$;;;;;;;;;;;;;x
tribal_invasion_desc;Call upon our forces to invade this realm and take their lands in a kingdom-wide area.;;;;;;;;;x
glorious_conquest_desc;Invade this realm and subjugate a kingdom-wide area to your own realm.;;;;;;;;;x
pagan_county_conquest_desc;Prove your worth and vanquish your foes and take their land, wherever they may be.;;;;;;;;;;;;;x
totalwar_desc;Bring forth the fury of the gods into the foreign lands and claim it in their name!;;;;;;;;;;;;;x
county_conquestmil_desc;A war of expansion under the auspices of our gods.;;;;;;;;;;;;;x
martial_county_conquest_desc;A war to please the Divine by expanding our religion's earthly dominion.;;;;;;;;;;;;;x
clerical_county_conquest_desc;Our holy clerics give us the task to re-claim this land for the glory of our religion.;;;;;;;;;;;;;x
embargo_cb_desc;Embargo this republic to space!;;;;;;;;;;;;;x
pagan_subjugation_desc;Tribal leaders are allowed to subjugate rulers of unreformed religions, or of the reformed version of their own religion, once in their lifetime. (With the 'Become $KING$' ambition, there is no such time limit against those who control titles within the kingdom.) Free men are always willing to follow the mightiest ruler...;Les païens peuvent assujettir d'autres souverains païens, et ce, une seule fois au cours de leur vie. Avec l'ambition « Devenir $KING$ », cette limitation est levée quand il s'agit de cibles internes au royaume en question. Les hommes libres veulent toujours suivre le souverain le plus puissant...;Heiden dürfen einmal im Leben andere heidnische Anführer unterwerfen. (Mit der Zielsetzung '$KING$ werden' gibt es kein solches Limit bezüglich Charakteren, die innerhalb des Königreiches Titel innehaben.) Freie Männer sind immer willens, dem stärksten Herrscher zu folgen...;;A los paganos se les permite subyugar a otros gobernantes paganos una vez en su vida. (Con la ambición 'Convertirse en $KING$ ', no hay tal límite de tiempo contra aquellos que controlan títulos dentro del reino). Los hombres libres están siempre dispuestos a seguir gobernante al más poderoso...;;;;;;;;;x
#Council;;;;;;;;;;;;;;x
action_study_technology;Conduct Subterfuge;;;;;;;;;x
action_study_technology_desc;Send your [GetSpymasterName] to conduct subterfuge in a province, committing technological and military espionage, as well as discrediting local authorities and addling relations between them and their liege.;;;;;;;;;x
ruler_command_yes;Ruler Taking Command;;;;;;;;;x
ruler_command_yes_desc;Your ruler honors his mantle as a feudal lord, taking up arms alongside his men - inspiring them to victory and earning their respect along with it.;;;;;;;;;x
ruler_command_no;Ruler Shirking Command;;;;;;;;;x
ruler_command_no_desc;Your ruler is shirking his duty as a feudal lord to take to the fields of battle himself, instead choosing to cower behind his walls and letting his underlings take the glory and duty of battle.;;;;;;;;;x
#CHARVIEW_CLAIMS;Themes:;;;;;;;;;x
