#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;
bloodphlegm_desc;The sanguine temperament is fundamentally impulsive and pleasure-seeking.\nThis character also has traces of the Phlegmatic type which leads to \nsocial people who are the ultimate pleasure-seekers.;Le tempérament sanguin est typique des personnes impulsives et à la recherche du plaisir. \n Ce personnage est aussi un peu Flegmatique.;;;;;;;;;;;;x;
bbileybile;Melancholic;Mélancolique;;;;;;;;;;;;x;
bbileybile_desc;The melancholic temperament is fundamentally introverted and cerebral.\nThis character also has traces of the Choleric type which leads to \nintroverts who are very sensitive.;Le tempérament mélancolique est typique des personnes introverties et cérébrales. \n Ce personnage est aussi un peu Billieux.;;;;;;;;;;;;x;
ybilephlegm;Choleric;Colérique;;;;;;;;;;;;x;
ybilephlegm_desc;The choleric temperament is identified with active, enthusiastic and ambitious personalities.\nThis character also has traces of the Phlegmatic type which leads to \nactive people who seek memorable experiences.;Le tempérament bilieux est typique des personnes actives, qui aiment la compétition. \n Ce personnage est aussi un peu Flegmatique.;;;;;;;;;;;;x;
bbileblood;Melancholic;Mélancolique;;;;;;;;;;;;x;
bbileblood_desc; The melancholic temperament is fundamentally introverted and cerebral.\nThis character also has traces of the Sanguine type which leads to \nintroverts with leader-like abilities.;Le tempérament mélancolique est typique des personnes introverties et cérébrales. \n Ce personnage est aussi un peu Sanguin.;;;;;;;;;;;;x;
books;Bookworm;Rat de bibliothèque;;;;;;;;;;;;x;
books_desc;This character is completely in love with books, a feeling shared by many monks and priests. Too bad it doesn't help with the character's sex appeal, though.;Ce personnage aime vraiment les livres, un sentiment partagé par de nombreux moines et prêtres. Dommage qu'il n'aide pas le sex-appeal du personnage aussi.;;;;;;;;;;;;x;
aloof;Aloof;Distant;;;;;;;;;;;;x;
aloof_desc;Lost in his own thoughts, this character is known to be distant and easily distracted.;Perdu dans ses pensées, ce personnage est connu pour être lointain et facilement distrait.;;;;;;;;;;;;x;
stoic;Stoic;Stoique;;;;;;;;;;;;x;
stoic_desc;Endures pain without any sign of weakness. This character is well suited for the battlefield, and respected by his peers.;Ce personnage nndure la douleur sans aucun signe de faiblesse. Il est bien adapté aux champ de bataille, et est respecté par ses pairs.;;;;;;;;;;;;x;
eccentric;Eccentric;Excentrique;;;;;;;;;;;;x;
eccentric_desc;The servants gossip this character is fond of strange acts of self-penitence... besides the peculiar habit of walking around naked.;Les ragots disent que ce personnage aime faire des choses étranges... par exemple son habitude consistant à se promener à moitié nu.;;;;;;;;;;;;x;
loyal;Loyal;Loyal;;;;;;;;;;;;x;
loyal_desc;This character follows his leader without question, and is faithful to the customs and people surrounding him.;Ce personnage suit son chef sans aucun doute, et il est fidèle aux coutumes et aux gens qui l'entourent.;;;;;;;;;;;;x;
rude;Rude;Grossier;;;;;;;;;;;;x;
rude_desc;What a filthy mouth! Hard to believe this character comes from a noble birth.;Que cette bouche doit être sale ! Difficile à croire que ce personnage soit un nombre.;;;;;;;;;;;;x;
unpredictable;Unpredictable;Imprévisible;;;;;;;;;;;;x;
unpredictable_desc; No one can tell what this character's next move will be.;Personne ne peut prévoir ce que fera ce personnage.;;;;;;;;;;;;x;
clever;Clever;Intelligent;;;;;;;;;;;;x;
clever_desc;Characters with this trait have a sharp mind, showing resourcefulness and skill.;Les personnages ayant ce trait ont un esprit vif, débordant d'ingéniosité et d'habileté.;;;;;;;;;;;;x;
bible;Scripture Spouter;Maitre des Ecritures;;;;;;;;;;;;x;
bible_desc;This character likes to quote the Bible, making others ponder over his words for a long time.;Ce personnage se plaît à citer la Bible, ce qui donne aux autres le soin de méditer sur ses paroles pendant une longue période.;;;;;;;;;;;;x;
indecisive;Indecisive;Indécis;;;;;;;;;;;;x;
indecisive_desc;Lacks the ability to make swift decisions.;Ce personnage n'a pas la capacité de prendre des décisions rapides.;;;;;;;;;;;;x;
idealistic;Idealistic;Idéaliste;;;;;;;;;;;;x;
idealistic_desc;Inspired by religious ideals, this character focuses not on what is, but on what ought to be.;Inspiré par ses idéaux, ce personnage se concentre non sur ce qui est, mais sur ce qui devrait être.;;;;;;;;;;;;x;
secretive;Secretive;Secret;;;;;;;;;;;;x;
secretive_desc;Characters with this trait keep their thoughts to themselves.;Les personnages avec ce trait savent garder leurs pensées pour eux-mêmes.;;;;;;;;;;;;x;
moody;Moody;Mauvaise humeur;;;;;;;;;;;;x;
moody_desc;Highly emotional, this character sometimes lacks the objectivity needed to be in a position of high responsibility.;Très émotif, ce personnage manque parfois de l'objectivité nécessaire pour occuper un poste de haute responsabilité.;;;;;;;;;;;;x;
spiritual;Spiritual;Spirituel;;;;;;;;;;;;x;
spiritual_desc;This character is strongly attached to religious values and concerned with practicing his faith.;Ce personnage est préoccupée par toutes les questions liées à l'Eglise.;;;;;;;;;;;;x;
familyperson;Family Person;Devoir Famillial;;;;;;;;;;;;x;
familyperson_desc; This character's sense of responsibility is to his family first and foremost.;Ce personnage fait passer sa famille avant lui-même.;;;;;;;;;;;;x;
procrastinator;Procrastinator;Procrastinateur;;;;;;;;;;;;x;
procrastinator_desc;Postpones and delays any administrative work whenever there's an excuse.;Ce personnage aime remettre au lendemain ce qu'il pourrait faire le jour même.;;;;;;;;;;;;x;
energetic;Energetic;Energique;;;;;;;;;;;;x;
energetic_desc;Active and full of vitality.;Ce personnage est actif et plein de vitalité.;;;;;;;;;;;;x;
confident;Confident;Confiant;;;;;;;;;;;;x;
confident_desc;Characters with this trait are so sure of themselves that most people feel compelled to believe them too.;Les personnes avec ce trait se sentent très sûr d'eux.;;;;;;;;;;;;x;
impulsive;Impulsive;Impulsif;;;;;;;;;;;;x;
impulsive_desc;This character acts before thinking.;Ce personnage agit avant de réfléchir.;;;;;;;;;;;;x;
efficient;Efficient;Efficace;;;;;;;;;;;;x;
efficient_desc;Works to achieve maximum productivity with minimum expense.;Ce personnage peut effectuer un travail difficile en un minimum de temps;;;;;;;;;;;;x;
arrogant;Arrogant;Arrogant;;;;;;;;;;;;x;
arrogant_desc;Characters with this trait believes themselves superior to all others, and they don't try to hide it.;Les personnages avec ce trait se sentent supérieures aux autres, et ne le cachent pas.;;;;;;;;;;;;x;
selfish;Selfish;Egoïste;;;;;;;;;;;;x;
selfish_desc;This character is only concerned with his own interests, disregarding friends or family members.;Ce personnage ne se préoccupent que de ce qui tourne autour de lui.;;;;;;;;;;;;x;
loud;Loud;Forte Voix;;;;;;;;;;;;x;
loud_desc;Has a striking high-volume voice - a bit overbearing among acquaintances but quite handy on the battlefield.;Doté d'un remarquable volume sonore, le personnage est un peu autoritaire parmi les connaissances, mais cela s'avère très pratique sur le champ de bataille.;;;;;;;;;;;;x;
restless;Restless;Agité;;;;;;;;;;;;x;
restless_desc;Unable to stay still, this character is full of initiative. Too bad this restlessness usually leads to details being overlooked.;Impossible de rester immobile, ce personnage est plein d'initiative. Mais toute cette agitation trouble un peu son entourage.;;;;;;;;;;;;x;
constant;Constant;Constant;;;;;;;;;;;;x;
constant_desc;There's not much change or variation in this character's behavior - which makes him the perfect judge among court members and friends.;Il n'y a pas beaucoup de changement ou de modification dans le comportement de ce personnage - ce qui fait de lui un juge parfait pour les tribunaux ou pour ses amis.;;;;;;;;;;;;x;
predictable;Predictable;Pévisible;;;;;;;;;;;;x;
predictable_desc;Most people can anticipate this character's actions.;La pluparts des gens peuvent anticiper les actions de ce personnage.;;;;;;;;;;;;x;
dull;Dull;Terne;;;;;;;;;;;;x;
dull_desc;When speaking, this character lacks excitement to the extent that others struggle to stifle their yawns.;Lorsqu'il parle ce personnage ne peut empécher les autres d'étouffer leurs bâillements.;;;;;;;;;;;;x;
practical;Practical;Pratique;;;;;;;;;;;;x;
practical_desc;Down-to-earth and straightforward, this character believes in gaining tangible rewards through direct action.;Terre à terre, ce personnage croit aux gains de récompenses tangibles grâce à l'action directe.;;;;;;;;;;;;x;
resentful;Resentful;Irritable;;;;;;;;;;;;x;
resentful_desc;This character does not forget, much less forgive. Will hold a grudge for a long time.;Ce personnage n'oublie jamais, et pardonne encore moins. Il gardera rancune pendant une longue période.;;;;;;;;;;;;x;
stubborn;Stubborn;Têtu;;;;;;;;;;;;x;
stubborn_desc;Unwilling to yield or reconsider - even against strong arguments and reasons to do so.;Ce personnage refuse de céder ou de reconsidérer ce qu'il pense - même contre de solides arguments.;;;;;;;;;;;;x;
money;Good with Money;Bon avec les pièces;;;;;;;;;;;;x;
money_desc;Knows how to save a coin and 'multiply the bread'.;"Ce personnage sait économiser et ""multiplier les pains"".";;;;;;;;;;;;x;
oldfashioned;Traditionalist;Traditionnaliste;;;;;;;;;;;;x;
oldfashioned_desc;Usually reminiscing on how good "the old days" were. Also known for being a living encyclopedia of past customs and traditions.;Bien que prompt à déblatérer sur le "bon vieux temps", ce personnage est aussi connu pour être une encyclopédie vivante des coutumes et des traditions passées.;;;;;;;;;;;;x;
lively;Lively;Animé;GERMAN;;SPANISH;;;;;;;;;x;
lively_desc;This character is a jolly good company - full of vigor and a good sense of humor.;Ce personnage est de bonne compagnie - plein de vigueur et doté d'un bon sens de l'humour.;GERMAN;;SPANISH;;;;;;;;;x;
eloquent;Eloquent;Eloquent;GERMAN;;SPANISH;;;;;;;;;x;
eloquent_desc;Knows how to persuade others and dazzle people with a smart choice of words.;Ce personnage sait persuader son entourage en choississant bien ses mots.;GERMAN;;SPANISH;;;;;;;;;x;
nervous;Nervous;Nerveux;GERMAN;;SPANISH;;;;;;;;;x;
nervous_desc;Easily distressed and apprehensive, this character does not impress on the battlefield.;Facilement stresser et plein d'appréhension, ce personnage n'impressionne nullement sur le champ de bataille.;GERMAN;;SPANISH;;;;;;;;;x;
shallow;Shallow;Superficiel;GERMAN;;SPANISH;;;;;;;;;x;
shallow_desc;Lacks any interest in knowledge or intellectual pursuits.\nUnable to 'read between the lines' either.;Ce personnage manque de tout intérêt pour les connaissances ou les activités intellectuelles. Il est également incapable de lire entre les lignes.;GERMAN;;SPANISH;;;;;;;;;x;
impatient;Impatient;Impatient;GERMAN;;SPANISH;;;;;;;;;x;
impatient_desc;Unable to endure delays or even wait quietly, this character is willing to lose money to hurry things up.;Incapable de supporter les retards, voire d'attendre tranquillement, ce personnage est prêt à prendre des risques et à précipiter les choses.;GERMAN;;SPANISH;;;;;;;;;x;
fickle;Fickle;Inconstant;GERMAN;;SPANISH;;;;;;;;;x;
fickle_desc; Has no strong convictions, changing opinions at the drop of a hat. Of course, this doesn't bode well with vassals or family members.;Ce personnage n'a pas de convictions fortes, et change d'opinions comme de chemises. Bien sûr, cela n'augure rien de bon avec ses vassaux ou les membres de sa famille.;GERMAN;;SPANISH;;;;;;;;;x;
friendly;Friendly;Amical;GERMAN;;SPANISH;;;;;;;;;x;
friendly_desc;This character is very easy to get along with, entertaining and full of wit.;Ce personnage est très facile à approcher. Il est divertissant et plein d'esprit.;GERMAN;;SPANISH;;;;;;;;;x;
tattler;Gossipmonger;Commère;GERMAN;;SPANISH;;;;;;;;;x;
tattler_desc;Likes to gossip about everyone, which explains the character's popularity among court members. On the other hand, is unable to keep any secrets.;Ce personnage aime propager des ragots, ce qui explique sa popularité parmi les membres de la Cour. Par contre il n'est pas en mesure de garder les secrets.;GERMAN;;SPANISH;;;;;;;;;x;
cautious;Cautious;Prudent;GERMAN;;SPANISH;;;;;;;;;x;
cautious_desc;Takes precautions to avoid unnecessary risks.;Ce personnage prend toutes les précautions nécessaire pour éviter les risques.;GERMAN;;SPANISH;;;;;;;;;x;
irrational;Irrational;Irrationnel;GERMAN;;SPANISH;;;;;;;;;x;
irrational_desc;Unstable and prone to fits of anger.;Ce personnage est instable et enclin à des crises de colère.;GERMAN;;SPANISH;;;;;;;;;x;
selfpitying;Self-Pitying;S'apitoie;GERMAN;;SPANISH;;;;;;;;;x;
selfpitying_desc;'Oh, poor me'. This character is used to whining and complaining, as if the victim of a great evil.;"""Oh, pauvre de moi."" Ce personnage n'arrete pas de geindre et de se plaindre, se disant la victime d'un grand mal.";GERMAN;;SPANISH;;;;;;;;;x;
goodintuition;Good Intuition;Bonne Intuition;GERMAN;;SPANISH;;;;;;;;;x;
goodintuition_desc;Has a strong instinct for distinguishing friends from foes.;Ce personne peut faire confiance à son instinct pour distinguer ses amis de ses ennemies.;GERMAN;;SPANISH;;;;;;;;;x;
overimaginative;Overimaginative;Grande Imagination;GERMAN;;SPANISH;;;;;;;;;x;
overimaginative_desc;Liable to confuse what is real with what is imagined. Obsessed with conspiracy theories, and not always without reason...;Ce personnage a parfois du mal à distinguer le réel de l'imaginaire.;GERMAN;;SPANISH;;;;;;;;;x;
manipulative;Manipulative;Manipulateur;GERMAN;;SPANISH;;;;;;;;;x;
manipulative_desc;Skillful in influencing others...\nalthough family members may well have grown immune to this character's tactics.;Le personnage est habile lorsqu'il s'agit d'influencer les autres. Peu de membres de sa famille ont grandi à l'abri des tactiques de ce personnage.;GERMAN;;SPANISH;;;;;;;;;x;
frivolous;Frivolous;Frivole;GERMAN;;SPANISH;;;;;;;;;x;
frivolous_desc;Easily distracted with small and superficial matters.;Le personnage est facilement distrait avec les petites choses superficielle.;GERMAN;;SPANISH;;;;;;;;;x;
obstinate;Obstinate;Obstiné;GERMAN;;SPANISH;;;;;;;;;x;
obstinate_desc;Persists even in the face of unlikely odds and significant difficulties.;Le personnage persiste même face aux obstacles les plus inattendus.;GERMAN;;SPANISH;;;;;;;;;x;
dogmatic;Dogmatic;Dogmatique;GERMAN;;SPANISH;;;;;;;;;x;
dogmatic_desc;Stands firmly beside the Church and Catholic beliefs - and will not tolerate any challenge to its political and religious nature.;Le personnage se tient fermement à côté de l'Eglise et des croyances catholiques. Il ne tolérera aucune contestation religieuse.;GERMAN;;SPANISH;;;;;;;;;x;
pompous;Pompous;Pompeux;GERMAN;;SPANISH;;;;;;;;;x;
pompous_desc;Exceedingly formal and solemn, tends to spend money on grand events and ceremonies.;Extrêmement formel et solennel, le personnage a tendance à dépenser son argent lors ??de grands événements et de cérémonies.;GERMAN;;SPANISH;;;;;;;;;x;
hardworking;Hardworking;Travailleur;GERMAN;;SPANISH;;;;;;;;;x;
hardworking_desc;Believes that all the hard work in life will pay off with heavenly treasures after death.;Le personnage estime que tout les durs travaux de cette vie seront payés avec des trésors célestes après la mort.;GERMAN;;SPANISH;;;;;;;;;x;
callous;Callous;Insensible;GERMAN;;SPANISH;;;;;;;;;x;
callous_desc;Not very sensitive to others' needs and suffering, which helps when commanding an army but is quite a fault in diplomatic circumstances.;Le personnage n'est pas très sensible aux besoins des autres et à sa souffrance. Bien qu'utile lorsqu'il commande une armée, ce trait lui est prégjudiciable dans des circonstances diplomatiques.;GERMAN;;SPANISH;;;;;;;;;x;
noblespirit;Noble Spirit;Noble Esprit;GERMAN;;SPANISH;;;;;;;;;x;
noblespirit_desc;Committed to the qualities of virtue and moral excellence, is highly regarded by many.;Le personnage ne vise que l'excellence, ce qui est hautement considéré par beaucoup.;GERMAN;;SPANISH;;;;;;;;;x;
naturalleader;Natural Leader;Leader Naturel;GERMAN;;SPANISH;;;;;;;;;x;
naturalleader_desc;Has a natural ability to lead others, influencing them with words and actions.;Le personnage possède une capacité naturelle à diriger les autres, à les influencer avec des mots et des actions.;GERMAN;;SPANISH;;;;;;;;;x;
gullible;Gullible;Crédule;GERMAN;;SPANISH;;;;;;;;;x;
gullible_desc;Lacks malice, worldly experience and can be easy prey to cunning plans.;Manquant de malice, le personnage peut être une proie facile pour les plans rusés.;GERMAN;;SPANISH;;;;;;;;;x;
firstinline;Leads From The Front;Première Ligne;GERMAN;;SPANISH;;;;;;;;;x;
firstinline_desc;This character's courage is legendary - will stand in the front lines of a battle, improving troop morale.;Le courage de ce personnage est légendaire - il se tiendra en première ligne des batailles, améliorant le moral des troupes.;GERMAN;;SPANISH;;;;;;;;;x;
analytical;Analytical;Analytique;GERMAN;;SPANISH;;;;;;;;;x;
analytical_desc;Will consider all the facts carefully before acting.;Le personnage prendra en considération tous les faits avec soin avant d'agir.;GERMAN;;SPANISH;;;;;;;;;x;
meticulous;Meticulous;Méticuleux;GERMAN;;SPANISH;;;;;;;;;x;
meticulous_desc;Extremely careful and precise, this character's attention to detail may annoy some but is very convenient when dealing with numbers.;Extrêmement attentif et précis, l'attention de ce personnage au détail peut gêner certains, mais cela est très pratique lorsqu'il s'agit de chiffre.;GERMAN;;SPANISH;;;;;;;;;x;
haggler;Haggler;Marchand;GERMAN;;SPANISH;;;;;;;;;x;
haggler_desc;Always bargaining to get the best deal.;Le personnage est toujours en négociation pour obtenir la meilleure affaire.;GERMAN;;SPANISH;;;;;;;;;x;
demanding;Demanding;Exigeant;GERMAN;;SPANISH;;;;;;;;;x;
demanding_desc;Expects the most out of anyone and will deliver harsh punishment to those who fall short.;Le personnage attend le meilleur de tout le monde et offrira un châtiment sévère à ceux qui sont en deçà.;GERMAN;;SPANISH;;;;;;;;;x;
reliable;Reliable;Fiable;GERMAN;;SPANISH;;;;;;;;;x;
reliable_desc;This character is known for being trustworthy.;Ce personnage est connu pour être digne de confiance.;GERMAN;;SPANISH;;;;;;;;;x;
harsh;Harsh;Rude;GERMAN;;SPANISH;;;;;;;;;x;
harsh_desc;Characters with this trait don't hold their tongues, saying whatever comes to mind - much of it nasty and unpleasant.;Les personnages avec ce trait ne tiennent pas leurs langues, et disent tout ce qui leurs vient à l'esprit - le plus souvent des choses désagréables et déplaisantes.;GERMAN;;SPANISH;;;;;;;;;x;
worrier;Worrier;Anxieux;GERMAN;;SPANISH;;;;;;;;;x;
worrier_desc;Characters with this trait are usually concerned about something - be it significant or meaningless.;Les personnages avec ce trait sont généralement préoccupé par quelque chose - que ce soit important ou inutile.;GERMAN;;SPANISH;;;;;;;;;x;
frugal;Frugal;Frugal;GERMAN;;SPANISH;;;;;;;;;x;
frugal_desc;Characters with this trait are obedient to their faith, living modestly and economically.;Les personnages avec ce trait sont en accord avec leur foi, vivant modestement et économiquement.;GERMAN;;SPANISH;;;;;;;;;x;
graceful;Graceful;Gracieux;GERMAN;;SPANISH;;;;;;;;;x;
graceful_desc;It's hard not to be impressed with this character's elegant manners and refined sensibilities.;Il est difficile de ne pas être impressionné par les manières élégantes de ce personnage et sa sensibilité raffinée.;GERMAN;;SPANISH;;;;;;;;;x;
quipster;Quipster;Blaggeur;GERMAN;;SPANISH;;;;;;;;;x;
quipster_desc;This character's witty remarks makes him a favourite amongst many.;Les boutades de ce personnages sont légendaires.;GERMAN;;SPANISH;;;;;;;;;x;
fanciful;Fanciful;Fantaisiste;GERMAN;;SPANISH;;;;;;;;;x;
fanciful_desc;What this character lacks in substance, they make up with extravagant and expensive displays of fashion.;Ce personnage a beaucoup d'imagination, mais semble parfois dans son propre monde.;GERMAN;;SPANISH;;;;;;;;;x;
unreliable;Unreliable;Douteux;GERMAN;;SPANISH;;;;;;;;;x;
unreliable_desc;This character is known to have no sense of responsibility or commitment.;Ce personnage est connu pour n'avoir aucun sens des responsabilités et de l'engagement.;GERMAN;;SPANISH;;;;;;;;;x;
weakwilled;Weak-willed;Velléitaire;GERMAN;;SPANISH;;;;;;;;;x;
weakwilled_desc;Easily swayed when confronted by a differing opinion.;Ce personnage a du mal à prendre une décision et à passer à l’acte. Il se fait souvent influençé par son entourage.;GERMAN;;SPANISH;;;;;;;;;x;
submissive;Submissive;Soumis;GERMAN;;SPANISH;;;;;;;;;x;
submissive_desc;Inclined to show total compliance and servility... especially when harbouring a secret agenda.;Ce personnage est nclin à montrer un respect et une servilité totale.;GERMAN;;SPANISH;;;;;;;;;x;
cunning;Cunning;Rusé;GERMAN;;SPANISH;;;;;;;;;x;
cunning_desc;Very able to spot weaknesses in others and to take advantage of it.;Ce personnage est en mesure de repérer les faiblesses des autres et à profiter de celles-ci.;GERMAN;;SPANISH;;;;;;;;;x;
romantic;Romantic;Romatique;GERMAN;;SPANISH;;;;;;;;;x;
romantic_desc;Characters with this trait are easily carried away with notions of love and the idealizing of the object of their desires.;Les personnages avec ce trait sont facilement emportés par l'amour et l'idéalisation de l'objet de leurs désirs.;GERMAN;;SPANISH;;;;;;;;;x;
magnetic;Magnetic;Magnétique;GERMAN;;SPANISH;;;;;;;;;x;
magnetic_desc;Characters with this trait are charismatic and accustomed to being the centre of attention.;Les personnages avec ce trait sont charismatiques et habitués à être le centre d'attention.;GERMAN;;SPANISH;;;;;;;;;x;
sensual;Sensual;Sensuel;GERMAN;;SPANISH;;;;;;;;;x;
sensual_desc;Quite apt in the arts of flirtation and seduction.;Ce personnage s'y connait dans les arts de flirt et de séduction.;GERMAN;;SPANISH;;;;;;;;;x;
tolerant;Tolerant;Tolérant;GERMAN;;SPANISH;;;;;;;;;x;
tolerant_desc;Characters with this trait are willing to accept and permit religious beliefs and practices which disagree with their own.;Les personnages avec ce trait sont prêts à accepter et à permettre les croyances et les pratiques religieuses qui sont en désaccord avec les siennes.;GERMAN;;SPANISH;;;;;;;;;x;
suspicious;Suspicious;Soupçonneux;GERMAN;;SPANISH;;;;;;;;;x;
suspicious_desc;Always reading hidden and malicious meanings in the actions and words of others.;Ce personnage arrive toujours à lire des significations cachées et de la malveillance dans les actions et les paroles des autres.;GERMAN;;SPANISH;;;;;;;;;x;
pessimistic;Pessimistic;Pessimiste;GERMAN;;SPANISH;;;;;;;;;x;
pessimistic_desc;'We are doomed'. This character tends to see the negative side of things - a trait that is not very helpful in the heat of battle.;«Nous sommes condamnés». Ce personnage a tendance à voir le côté négatif des choses - un trait qui n'est pas très commode dans le feu des batailles.;GERMAN;;SPANISH;;;;;;;;;x;
judgemental;Judgemental;Moralisateur;GERMAN;;SPANISH;;;;;;;;;x;
judgemental_desc;Quick in showing disapproval and criticizing people.;Ce personnage est rapide à montrer sa désapprobation et à critiquer les gens.;GERMAN;;SPANISH;;;;;;;;;x;
bloodthirsty;Bloodthirsty;Sanguinaire;GERMAN;;SPANISH;;;;;;;;;x;
bloodthirsty_desc;Once in battle, is given to a wild and murderous disposition. Most men fear this character, while a few others spread horrendous rumours about his behavior.;Au cœur de la bataille, ce personnage laisse libre cours à ses instincts sauvages et meurtriers. La plupart des hommes ont peur de ce personnage, tandis que quelques autres répandent des rumeurs horribles au sujet de son comportement.;GERMAN;;SPANISH;;;;;;;;;x;
vain;Vain;Vaniteux;GERMAN;;SPANISH;;;;;;;;;x;
vain_desc;Very concerned with one's own appearance.;Ce personnage est très préoccupé par son apparence.;GERMAN;;SPANISH;;;;;;;;;x;
philosophical;Philosophical;Philosophe;GERMAN;;SPANISH;;;;;;;;;x;
philosophical_desc;Devoted to the study of the soul and the universe, is well-versed in numerous subjects.;Ce personnage se consacre à l'étude de l'âme et de l'univers. Il est versé dans de nombreuses disciplines.;GERMAN;;SPANISH;;;;;;;;;x;
optimistic;Optimistic;Optimiste;GERMAN;;SPANISH;;;;;;;;;x;
optimistic_desc;Tends to see the positive side of things - a trait that usually attracts people to this character's side.;Ce personnage a tendance à ne voir que le côté positif des choses - un trait qui attire habituellement les gens à ses côté.;GERMAN;;SPANISH;;;;;;;;;x;
careless;Careless;Négligent;GERMAN;;SPANISH;;;;;;;;;x;
careless_desc;Likes to live a care-free life and makes no effort in being thorough.;Ce personnage aime à vivre une vie sans souci et ne fait aucun effort.;GERMAN;;SPANISH;;;;;;;;;x;
tactless;Tactless;Indélicat;GERMAN;;SPANISH;;;;;;;;;x;
tactless_desc;Has no skill in dealing with delicate situations.;Ce personnage manque de tact quand il s'agit de traiter des situations délicates.;GERMAN;;SPANISH;;;;;;;;;x;
risktaker;Risk-taker;Risque Tout;GERMAN;;SPANISH;;;;;;;;;x;
risktaker_desc;Characters with this trait are always willing to try something new, with no concerns for their own safety.;Les personnages avec ce trait sont toujours prêts à essayer quelque chose de nouveau, sans craindre pour leur propre sécurité.;GERMAN;;SPANISH;;;;;;;;;x;
funny;Funny;Drôle;GERMAN;;SPANISH;;;;;;;;;x;
funny_desc;Knows how to amuse people and make them laugh with the best comical tales of the century.;Ce personnage sait amuser les gens et les faire rire avec les meilleurs récits comiques du siècle.;GERMAN;;SPANISH;;;;;;;;;x;
rebellious;Rebellious;Rebelle;GERMAN;;SPANISH;;;;;;;;;x;
rebellious_desc;Is naturally resistent to other people's command, defying them whenever possible.;Ce personnage a l'esprit de contradiction, il résiste et défie les ordres qu'on peut lui donner.;GERMAN;;SPANISH;;;;;;;;;x;
curious;Curious;Indiscret;GERMAN;;SPANISH;;;;;;;;;x;
curious_desc;Interested in other people's personal affairs, to the point of asking some very impertinent questions...;Ce personnage est particulièrement intéressés par les affaires personnelles d'autres personnes, au point de poser des questions délicates...;GERMAN;;SPANISH;;;;;;;;;x;
disciplined;Disciplined;Discipliné;GERMAN;;SPANISH;;;;;;;;;x;
disciplined_desc;Mentally and physically fit and prepared to obey any orders.;Mentalement et physiquement apte et prêt à obéir aux ordres.;GERMAN;;SPANISH;;;;;;;;;x;
reserved;Reserved;Réservé;GERMAN;;SPANISH;;;;;;;;;x;
