#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
scholarlystudent;Schoarly Student;Varègue;Waräger;;Varangiano;;;;;;;;;x
EVTDESC_ACADEMIA11;Dire news! [From.GetTitledFirstName] has chosen to stay in the Neoplaton Akademia as a teacher, now he will forever remain there, instructing the future generations in the ways of the Philosphers. ;[From.GetTitledFirstName]est de retour de Miklagård et de la Garde varègue et c'est un homme changé. Il est plus sage, plus sûr de lui et connaît très bien l'art de la guerre. Le temps qu'il a passé en Grèce semble lui avoir fait du bien.;[From.GetTitledFirstName] ist als gewandelter Mann aus Miklagard und dem Dienst in der Warägergarde zurückgekehrt. Er ist weiser, zuversichtlicher und besitzt neue Kenntnisse in Kriegsangelegenheiten. Es scheint, als habe ihm die Zeit bei den Griechen gut getan. ;;[From.GetTitledFirstName] ha vuelto de Miklagård y de la Guardia Varangiana como un hombre cambiado. Es más sabio, más seguro de sus propias habilidades y más eficiente en asuntos de guerra. Parece que el tiempo pasado en Grecia le ha hecho bien.;;;;;;;;;x
EVTOPTA_ACADEMIA11;Go on, my son, enlighten the world! ;Bienvenue chez toi, [From.GetFirstName] !;Willkommen zu Hause, [From.GetFirstName]!;;¡Bienvenido, [From.GetFirstName]!;;;;;;;;;x
EVTDESC_ACADEMIA12;One of your students, [From.GetTitledFirstName] has chosen to stay in the Akademia as a teacher! Splendid news!.;[From.GetTitledFirstName]est de retour de Miklagård et de la Garde varègue et c'est un homme changé. Il est plus sage, plus sûr de lui et connaît très bien l'art de la guerre. Le temps qu'il a passé en Grèce semble lui avoir fait du bien.;[From.GetTitledFirstName] ist als gewandelter Mann aus Miklagard und dem Dienst in der Warägergarde zurückgekehrt. Er ist weiser, zuversichtlicher und besitzt neue Kenntnisse in Kriegsangelegenheiten. Es scheint, als habe ihm die Zeit bei den Griechen gut getan. ;;[From.GetTitledFirstName] ha vuelto de Miklagård y de la Guardia Varangiana como un hombre cambiado. Es más sabio, más seguro de sus propias habilidades y más eficiente en asuntos de guerra. Parece que el tiempo pasado en Grecia le ha hecho bien.;;;;;;;;;x
EVTOPTA_ACADEMIA12;Welcome!!!;Bienvenue chez toi, [From.GetFirstName] !;Willkommen zu Hause, [From.GetFirstName]!;;¡Bienvenido, [From.GetFirstName]!;;;;;;;;;x
scholarlyteacher;Schoarly Teacher;Varègue;Waräger;;Varangiano;;;;;;;;;x
scholarlyteacher_desc;This character is a teacher in a prestigious scholarly academy. This unbinds him from any other earthly occupation, and disqualifies him from succession, for now he is entirely devoted to passing the torch of knowledge to future generations.;Varègue;Waräger;;Varangiano;;;;;;;;;x
EVTDESC_ACADEMIA14;After delving into the scholarly works of the wise men of antiquity, your son has decided to adopt their philosophy as his own.;;;;;;;;;;;;;x
EVTOPTA_ACADEMIA14;He's done WHAT!?;;;;;;;;;;;;;x
EVTDESC_ACADEMIA16;Your son has successfully completed his studies at the Akademia, but has brought a Hellen wife with him.;;;;;;;;;;;;;x
EVTOPTA_ACADEMIA16;At least he's married...;;;;;;;;;;;;;x
EVTDESC_ACADEMIA17;My father has died, and while I haven't finished my studies yet I am his heir, so I must return to my homeland and abandon my scholarly pursuits.;;;;;;;;;;;;;x
EVTOPTA_ACADEMIA17;So much for knowledge...;;;;;;;;;;;;;x

