#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
jester;Court Jester;Bouffon;Hofnarr;;Bufón de la corte;;;;;;;;;x
armour_bearer;Armour Bearer;;;;;;;;;;;;;x
armour_bearer_desc;The Armour Bearer is in charge of his Lord's armour. ;;;;;;;;;;;;;x
title_master_falconer;Master Falconer;;;;;;;;;;;;;x
title_master_falconer_desc;The Master Falconer is in charge of the falcon hunt and hunting lodges of the realm.;;;;;;;;;;;;;x
master_falconer;Master Falconer;;;;;;;;;;;;;x
master_falconer_desc;The Master Falconer is in charge of the falcon hunt and hunting lodges of the realm.;;;;;;;;;;;;;x
title_monsignor;Monsignor;;;;;;;;;;;;;x
title_monsignor_desc;An ecclesiastical title of honor bestowed on clerymen.;;;;;;;;;;;;;x
monsignor;Monsignor;;;;;;;;;;;;;x
monsignor_desc;This character was appointed as Monsignor by his liege.;;;;;;;;;;;;;x
title_confidant;Confidant;;;;;;;;;;;;;x
title_confidant_desc;This title represents the close friend, trusted in voicing genuine advice to the ruler.;;;;;;;;;;;;;x
confidant;Confidant;;;;;;;;;;;;;x
confidant_desc;Having such great personal relations with his liege, this character fulfills the role of companion and trusted adviser to the ruler.;;;;;;;;;;;;;x
title_ser;Sir;;;;;;;;;;;;;x
title_ser_desc;This character has been knighted by a Lord of noble birth. He can now be called 'Sir' and is entitled his arms, squires and a monthly appannage.;;;;;;;;;;;;;x
despot;Despot;Despote;Despot;;Déspota;;;;;;;;;x
despot_desc;Despot is the highest honorary title in the Byzantine Empire, second only to the Emperor. It can only be granted to close relatives, traditionally the oldest son.;Le despote est le plus haut titre honorifique de l’Empire byzantin, après celui d’empereur. Seuls les proches parents, traditionnellement le fils aîné, peuvent en bénéficier.;Despot ist der höchste Ehrentitel im Byzantinischen Kaiserreich und untersteht nur dem Kaiser. Er kann nur engen Verwandten verliehen werden, traditionell dem ältesten Sohn.;;El título honorífico de déspota era el más importante del Imperio Bizantino después del de emperador. Puede otorgarse a los familiares cercanos, tradicionalmente al hijo mayor.;;;;;;;;;x
sebastokrator;Sebastokrator;Sébastokrator;Sebastokrator;;Sebastocrátor;;;;;;;;;x
sebastokrator_desc;The title of Sebastokrator was created as an even higher honor than that of 'Caesar'. It can only be granted to close relatives of the Emperor.;Le titre de Sébastokrator a été créé à des fins encore plus honorifique que celui de 'César'. Il est réservé aux proches parents de l’empereur.;Der Titel Sebastokrator war mit noch höherer Ehre als der eines 'Cäsar' verbunden. Er kann nur engen Verwandten des Kaisers verliehen werden.;;El título de sebastocrátor tenía aún más honor que el de césar. Solo puede otorgarse a los familiares cercanos del emperador.;;;;;;;;;x
caesar;Caesar;César;Cäsar;;César;;;;;;;;;x
caesar_desc;Originally the highest honor in the Roman Empire, the title of Caesar can now be awarded to anyone.;Plus haut titre de l’Empire romain, le titre de César peut désormais être décerné à tout le monde.;Ursprünglich war der Cäsartitel der ehrenvollste im Römischen Kaiserreich, jetzt aber kann er jedermann verliehen werden.;;Originalmente, era el título con más honor del Imperio Romano, aunque hoy en día puede otorgarse a cualquiera.;;;;;;;;;x
kouropalates;Kouropalates;Curopalate;Kouropalates;;Curopalates;;;;;;;;;x
kouropalates_desc;Kouropalates - 'the One in Charge of the Palace' - is a very prestigious title in the Byzantine Empire.;Curopalate - 'celui qui a la charge du palais' est un prestigieux titre de l’Empire byzantin.;Kouropalates - 'der Palastverwalter' - ist im Byzantinischen Kaiserreich ein äußerst angesehener Titel.;;El título de curopalates (el encargado del palacio) es bastante prestigioso en el Imperio Bizantino.;;;;;;;;;x
anthypatos;Anthypatos;Anthypatos;Anthypatos;;Anthypatos;;;;;;;;;x
anthypatos_desc;Anthypatos is Greek for Proconsul. However, the office no longer denotes a provincial governor but is purely honorary.;Anthypathos est un terme grec qui signifie proconsul. Toutefois, ce titre ne désigne plus un gouverneur provincial, et s’avère purement honorifique.;Anthypathos ist der griechische Ausdruck für Prokonsul. Dieses Amt steht aber nicht mehr für einen Provinzgouverneur, sondern ist lediglich ein Ehrentitel.;;Anthypathos viene del griego y significa procónsul. Sin embargo, el cargo ya no es para los gobernadores de la provincia, sino que es meramente honorífico.;;;;;;;;;x
food_taster;Food Taster;;;;;;;;;;;;;x
food_taster_desc;Food tasters have the dubious pleasure of trying all dishes before their master has a bite...;;;;;;;;;;;;;x
court_calligrapher;Court Calligrapher;;;;;;;;;;;;;x
court_calligrapher_desc;Islamic suspicion of figurative art makes skilled calligraphers highly respected.;;;;;;;;;;;;;x
court_musician;Court Musician;;;;;;;;;;;;;x
court_musician_desc;The Court Musician is always ready to entertain with soothing or stirring music.;;;;;;;;;;;;;x
court_poet;Court Poet;;;;;;;;;;;;;x
court_poet_desc;Islamic poets enjoy a great deal of respect and prestige, often religious, but sometimes pushing the limits of what is acceptable under Islam.;;;;;;;;;;;;;x
chief_architect;Chief Architect;;;;;;;;;;;;;x
chief_architect_desc;;The Chief Architect is responsible for designing and overseeing the construction of palaces, mosques and grand monuments.;;;;;;;;;;;;x
title_revoke_minor_title;Revoke Honorary Title;Révoquer le Titre Honorifique.;Ehrentitel aberkennen;;;;;;;;;;;x
title_revoke_minor_title_desc;Revoke this character's honorary title and the prestige and income that goes along with it. This will anger them.;Révoquer le tire honorifique de cette personne,,,,,;;;;;;;;;;;;x
title_revoke_court_jester;Revoke Honorary Title;Révoquer le Titre Honorifique.;Ehrentitel aberkennen;;;;;;;;;;;x
title_revoke_court_jester_desc;Revoke this character's honorary title.;Révoquer le titre honorifique de cette personne.;Ehrentitel aberkannt;;;;;;;;;;;x
title_grant_independence;Grant Independence;Octroyer l'indépendance.;Unabhängigkeit gewähren;;;;;;;;;;;x
title_grant_independence_desc;Break our vassal contract with this character. This will cost us some prestige and greatly damage our mutual relations.;Briser le serment vassalique avec cette personne. Cela vous coûtera du prestige et déteriorera grandement vos relations mutuelles. ;Breche unseren Vasall-Vertrag mit diesem Charakter. Das wird uns etwas Prestige kosten und außerordentlich unsere gegenseitigen Beziehungen beschädigen.;;;;;;;;;;;x
title_cardinal_albano;Cardinal Bishop of Albano;;;;;;;;;;;;;x
title_cardinal_albano_desc;This character has been appointed as Cardinal Bishop of the Suburbicarian Diocese of Albano by his Holyness the Pope. He is thus one of the Cardinal Electors of the Conclave.;;;;;;;;;;;;;x
title_cardinal_tusculum;Cardinal Bishop of Tusculum;;;;;;;;;;;;;x
title_cardinal_tusculum_desc;This character has been appointed as Cardinal Bishop of the Suburbicarian Diocese of Tusculum by his Holyness the Pope. He is thus one of the Cardinal Electors of the Conclave.;;;;;;;;;;;;;x
title_cardinal_ostia;Cardinal Bishop of Ostia;;;;;;;;;;;;;x
title_cardinal_ostia_desc;This character has been appointed as Cardinal Bishop of the Suburbicarian Diocese of Ostia by his Holyness the Pope. He is thus one of the Cardinal Electors of the Conclave.;;;;;;;;;;;;;x
title_cardinal_porto;Cardinal Bishop of Porto;;;;;;;;;;;;;x
title_cardinal_porto_desc;This character has been appointed as Cardinal Bishop of the Suburbicarian Diocese of Porto by his Holyness the Pope. He is thus one of the Cardinal Electors of the Conclave.;;;;;;;;;;;;;x
title_cardinal_palestrina;Cardinal Bishop of Palestrina;;;;;;;;;;;;;x
title_cardinal_palestrina_desc;This character has been appointed as Cardinal Bishop of the Suburbicarian Diocese of Palestrina by his Holyness the Pope. He is thus one of the Cardinal Electors of the Conclave.;;;;;;;;;;;;;x
title_cardinal_velletri;Cardinal Bishop of Velletri;;;;;;;;;;;;;x
title_cardinal_velletri_desc;This character has been appointed as Cardinal Bishop of the Suburbicarian Diocese of Velletri by his Holyness the Pope. He is thus one of the Cardinal Electors of the Conclave.;;;;;;;;;;;;;x
title_cardinal_deacon;Cardinal Deacon;;;;;;;;;;;;;x
title_cardinal_deacon_desc;This character has been appointed as one of the Seven Cardinal Deacons of the Roman Curia by his Holyness the Pope.;;;;;;;;;;;;;x
title_cardinal_protodeacon;Cardinal Protodeacon;;;;;;;;;;;;;x
title_cardinal_protodeacon_desc;This senior Cardinal Deacon has been appointed as Cardinal Protodeacon of the Roman Curia by his Holyness the Pope. He is going to be the one to announce the new Pope's name to the world after the end of a Conclave.;;;;;;;;;;;;;x
EVTDESCicon.16;I now have a definite place at court;;;;;;;;;;;;;x
EVTOPTAicon.16;How may I serve?;Très bien.;Sehr gut;;Very well;;;;;;;;;x
